id;names1;total;lower;median;upper;uncertainty
1;Nde;181165.54;156290.01;180569.51;207759.78;0.28
2;Fako;884157.27;621474.75;881712.8;1194174.34;0.65
3;Mefou et Afamba;687366.92;644805.86;686675.48;730121.35;0.12
4;Menoua;455420.68;384384.9;451183.87;528953.53;0.32
5;Haut Nkam;147667.88;125825.4;146223.42;174797.54;0.33
6;Manyu;172720.5;145398.93;173269.9;203049.79;0.33
7;Faro et Deo;145019.51;109734.48;143949.51;198408.81;0.61
8;Vina;754014.77;561784.2;752867.29;999939.84;0.58
9;Djerem;220422.75;173194.54;216321.07;277192.4;0.47
10;Mbere;297740.42;236348.51;296352.04;370873.14;0.45
11;Faro;128857.52;100004.33;127534.31;164594.47;0.5
12;Mvila;278080.74;207929.35;274405.98;375386.13;0.6
13;Noun;740691.06;698348.56;736669.77;794582.08;0.13
14;Bamboutos;387633.24;339760.73;386673.77;439945.9;0.26
15;Benoue;1675066.64;1455617.45;1684116.78;1893246.85;0.26
16;Boyo;148548.92;136614.1;148522.38;164253.47;0.19
17;Ndian;116806.07;80042.35;115830.87;158060.66;0.67
18;Mayo Kani;593090.1;530734.88;593105.98;673416.59;0.24
19;Mayo Danay;945752.58;852766.16;943377.98;1045372.36;0.2
20;Kadey;378872;351163.24;377222.53;412429.82;0.16
21;Boumba et Ngoko;157041.36;120788.88;157335.74;203954.9;0.53
22;Mayo Louti;687931.61;608122.45;689042.68;782949.38;0.25
23;Mayo Banyo;229967.89;199449.36;229044.62;264740.34;0.28
24;Mfoundi;2541508.11;2152720.21;2533098.39;2927273.5;0.3
25;Ocean;291087.78;249192.14;292078.2;345880.15;0.33
26;Mayo Rey;944739.69;736369.79;947474.43;1189385.6;0.48
27;Logone et Chari;1244754.96;803525.85;1202141.46;1947192.9;0.92
28;Mayo Sava;525565.46;415469.46;519496.68;673353.07;0.49
29;Mayo Tsanaga;896314.26;729933.83;891183.32;1131974.08;0.45
30;Haut Nyong;265389.08;207414.88;268998.67;330377.28;0.46
31;Dja et Lobo;292280.84;216852.54;287048.4;370748.48;0.53
32;Lom et Djerem;719625.51;679940.08;717858.4;766681.19;0.12
33;Hauts Plateaux;233392.8;199201.07;233821.44;273821.48;0.32
34;Diamare;1170264.05;966208.82;1152556.97;1419813.7;0.39
35;Bui;251111.67;222958.74;248419.51;285317.65;0.25
36;Lekie;627967.48;599258.9;627965.4;660978.77;0.1
37;Vallee du Ntem;140095.37;116119.51;139593.97;171721.65;0.4
38;Donga Mantung;266952.43;241067.95;266456.85;310400.5;0.26
39;Meme;420739.87;304225.56;421986.38;557083.43;0.6
40;Mifi;411721.36;363147.67;413805.09;467201.23;0.25
41;Ngo Ketunjia;154577.57;142822.2;153901.4;167602.85;0.16
42;Mefou et Akono;196708.2;185902.62;196319.97;208446.08;0.11
43;Lebialem;58876.22;50984.12;58524.61;66853.11;0.27
44;Koupe et Manengouba;121244.37;90989.68;120990.3;153926.02;0.52
45;Moungo;612188.27;464560.39;607616.36;791942.38;0.53
46;Nkam;59276.08;46809.37;59348.78;72000.36;0.42
47;Sanaga Maritime;294054.72;224232.03;294275.71;379701.12;0.53
48;Nyong et kelle;153666.31;129219.64;153968.91;182893.22;0.35
49;Nyong et Soo;148264.98;137801.03;147577.92;161027.53;0.16
50;Nyong et Mfoumou;181786.67;160652.54;180983.09;202470.7;0.23
51;Haute Sanaga;162919;144216.01;161136.63;186345.14;0.26
52;Mbam et Inoubou;273182.02;253873.02;272531.24;294781.94;0.15
53;Menchum;122708.48;111708.29;122943.93;134672.87;0.19
54;Momo;137555.81;124334.85;137831.86;153267.25;0.21
55;Mezam;424321.02;384730.83;423667.69;478856.71;0.22
56;Mbam et Kim;231968.14;215646.08;232230.37;247906.12;0.14
57;Koung Khi;181957.77;156930.8;181862.66;210879.62;0.3
58;Wouri;3490684.59;2373856.13;3468773.65;5074570.87;0.77
