variable,maille,methode,classe,borne_inf,borne_sup
tx_eau_amelioree,region,quantile,1,45.424757881056365,70.9052819870944
tx_eau_amelioree,region,quantile,2,70.9052819870944,78.7232475267222
tx_eau_amelioree,region,quantile,3,78.7232475267222,84.53531236156797
tx_eau_amelioree,region,quantile,4,84.53531236156797,94.2374305970151
tx_eau_amelioree,region,quantile,5,94.2374305970151,98.86130037506575
tx_eau_amelioree,region,egal,1,45.424757881056365,56.11206637985824
tx_eau_amelioree,region,egal,2,56.11206637985824,66.79937487866012
tx_eau_amelioree,region,egal,3,66.79937487866012,77.486683377462
tx_eau_amelioree,region,egal,4,77.486683377462,88.17399187626387
tx_eau_amelioree,region,egal,5,88.17399187626387,98.86130037506575
tx_eau_amelioree,region,jenks,1,45.424757881056365,45.424757881056365
tx_eau_amelioree,region,jenks,2,45.424757881056365,69.4982692962138
tx_eau_amelioree,region,jenks,3,69.4982692962138,76.6929685343391
tx_eau_amelioree,region,jenks,4,76.6929685343391,85.46289793044447
tx_eau_amelioree,region,jenks,5,85.46289793044447,98.86130037506575
tx_eau_amelioree,region,ecart_type,1,41.61750020452128,49.275338122425524
tx_eau_amelioree,region,ecart_type,2,49.275338122425524,56.93317604032977
tx_eau_amelioree,region,ecart_type,3,56.93317604032977,64.59101395823402
tx_eau_amelioree,region,ecart_type,4,64.59101395823402,72.24885187613826
tx_eau_amelioree,region,ecart_type,5,72.24885187613826,79.9066897940425
tx_eau_amelioree,region,ecart_type,6,79.9066897940425,87.56452771194675
tx_eau_amelioree,region,ecart_type,7,87.56452771194675,95.222365629851
tx_eau_amelioree,region,ecart_type,8,95.222365629851,102.88020354775524
tx_pauvrete,region,quantile,1,7.496895227914394,12.110652915299518
tx_pauvrete,region,quantile,2,12.110652915299518,23.946466717956596
tx_pauvrete,region,quantile,3,23.946466717956596,42.64921836367397
tx_pauvrete,region,quantile,4,42.64921836367397,57.472059773204776
tx_pauvrete,region,quantile,5,57.472059773204776,75.52090450995446
tx_pauvrete,region,egal,1,7.496895227914394,21.101697084322407
tx_pauvrete,region,egal,2,21.101697084322407,34.70649894073042
tx_pauvrete,region,egal,3,34.70649894073042,48.31130079713843
tx_pauvrete,region,egal,4,48.31130079713843,61.916102653546446
tx_pauvrete,region,egal,5,61.916102653546446,75.52090450995446
tx_pauvrete,region,jenks,1,7.496895227914394,10.45482649547798
tx_pauvrete,region,jenks,2,10.45482649547798,20.683886131243014
tx_pauvrete,region,jenks,3,20.683886131243014,28.915496828107845
tx_pauvrete,region,jenks,4,28.915496828107845,63.68887377684117
tx_pauvrete,region,jenks,5,63.68887377684117,75.52090450995446
tx_pauvrete,region,ecart_type,1,-0.1647230968497695,11.787641353443501
tx_pauvrete,region,ecart_type,2,11.787641353443501,23.74000580373677
tx_pauvrete,region,ecart_type,3,23.74000580373677,35.692370254030045
tx_pauvrete,region,ecart_type,4,35.692370254030045,47.64473470432332
tx_pauvrete,region,ecart_type,5,47.64473470432332,59.597099154616586
tx_pauvrete,region,ecart_type,6,59.597099154616586,71.54946360490986
