dhsclust,region_eds,milieu,lon,lat,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy
1,EXTREME-NORD,U,14.607247,10.748742,28,28.084979999999998,99.99999999999999,53.57142857142857,4.892857142857143
2,EST,R,13.282114,3.896324,28,12.850404,35.714285714285715,0,6.178571428571429
3,CENTRE,U,11.379685,4.554889,28,24.478412000000002,96.42857142857143,85.71428571428571,8.785714285714285
5,YAOUNDE,U,11.547974,3.860075,28,21.024639999999998,100,100,3.892857142857143
7,ADAMAOUA,R,13.187004,6.520462,24,6.956208,20.833333333333332,0,6.458333333333332
8,NORD-OUEST,U,10.149462,5.940608,25,25.318825,100,96,2.88
10,EXTREME-NORD,R,13.805082,10.772808,28,8.829968000000001,50,14.285714285714285,5.071428571428572
11,LITTORAL,U,10.092532,3.801051,28,18.677176,89.28571428571429,100,6
12,DOUALA,U,9.73572,4.093956,26,29.549416,100,100,3.8846153846153846
13,SUD,U,11.155678,2.91139,28,9.210123999999999,100,96.42857142857143,4.214285714285714
14,EXTREME-NORD,R,13.560029,10.61429,25,24.658025,80,4,8.64
15,SUD,R,12.270948,3.163996,28,20.95618,89.28571428571428,96.42857142857143,8.142857142857142
17,DOUALA,U,9.755721,4.105737,28,47.159672,100,100,4.821428571428571
18,EXTREME-NORD,U,15.054558,12.058918,28,37.525292,100,78.57142857142858,5.7857142857142865
19,SUD,R,9.985541,2.848274,28,10.360392000000001,100,100,3.4642857142857135
20,CENTRE,U,11.513008,3.525336,27,30.958011,99.99999999999999,99.99999999999999,5.407407407407407
21,OUEST,R,10.189361,5.579095,28,24.997084,28.57142857142857,53.57142857142857,5.5357142857142865
22,SUD-OUEST,U,9.444195,4.622384,26,20.901348,100,100,4.769230769230769
24,SUD-OUEST,U,9.435357,4.634657,24,17.911296,100,100,3.6666666666666665
26,CENTRE,R,11.603266,3.811606,28,74.725336,85.71428571428571,96.42857142857143,5.678571428571429
27,EST,R,14.36526,4.981892,28,17.017812,42.857142857142854,17.857142857142854,5.357142857142857
28,EST,U,13.686116,4.559971,28,22.48778,96.42857142857143,92.85714285714286,5.749999999999999
29,NORD-OUEST,U,10.650983,6.083634,28,18.057788,100,85.71428571428571,3.892857142857143
30,NORD-OUEST,R,11.177667,6.477943,26,60.830354,19.23076923076923,23.076923076923077,5.307692307692308
31,YAOUNDE,U,11.551993,3.835144,28,34.428268,96.42857142857142,96.42857142857142,4.857142857142857
32,DOUALA,U,9.809283,4.076391,28,52.061464,99.99999999999999,99.99999999999999,4.9642857142857135
33,CENTRE,R,12.013033,3.98103,28,12.8611,42.857142857142854,0,4.25
34,ADAMAOUA,R,11.742845,6.734582,27,15.322769999999998,29.62962962962963,0,7.074074074074074
35,EXTREME-NORD,R,13.99916,10.504882,28,53.626467999999996,60.714285714285715,0,5.428571428571429
37,ADAMAOUA,R,13.899092,6.44937,28,9.78796,89.28571428571429,3.5714285714285716,4.642857142857142
38,NORD-OUEST,R,10.432144,5.902825,28,75.38468,78.57142857142857,53.57142857142857,4.928571428571428
40,CENTRE,R,11.044174,4.537451,28,27.284264,28.57142857142857,17.857142857142858,6.821428571428571
41,CENTRE,R,11.685174,4.732893,28,68.253556,57.14285714285714,10.714285714285714,8.285714285714285
43,NORD-OUEST,R,10.574478,6.1474780000000004,28,38.90614,100,74.99999999999999,4.75
44,EXTREME-NORD,U,14.312358,10.635626,27,46.68327,100,70.37037037037037,3.4444444444444446
45,ADAMAOUA,R,11.295456,6.481658,26,14.726894,65.38461538461539,34.61538461538461,5.4230769230769225
46,NORD,R,13.775338,9.794025,28,25.140332,39.285714285714285,0,7.607142857142858
47,OUEST,R,10.37522,5.183025,26,19.796842,100,100,5.538461538461538
48,EXTREME-NORD,R,14.37952,10.511903,27,21.316851,70.37037037037038,14.814814814814815,5.777777777777778
49,NORD,U,13.430497,9.345229,27,50.353164,96.2962962962963,81.48148148148147,5.481481481481481
50,DOUALA,U,9.731632,4.009312,27,36.454023,81.48148148148148,100,3.8888888888888893
51,YAOUNDE,U,11.569175,3.90023,28,52.065916,99.99999999999999,99.99999999999999,4.821428571428571
52,YAOUNDE,U,11.521972,3.861414,28,45.999996,100,100,3.2857142857142856
53,DOUALA,U,9.696958,4.032733,27,17.893089,96.2962962962963,100,4.481481481481482
54,DOUALA,U,9.656266,4.066906,28,31.993416,100,100,3.7857142857142856
55,CENTRE,R,11.414676,4.136299,28,22.205708,39.28571428571428,0,6.428571428571428
56,NORD,U,13.406751,9.316661,27,13.273227,100,100,4.703703703703703
58,YAOUNDE,U,11.5714,3.876842,28,54.036808,100,100,5.035714285714286
59,NORD,R,14.11199,8.694151,28,61.132876,14.285714285714286,10.714285714285714,5.571428571428572
60,SUD-OUEST,U,9.200917,4.030813,27,21.965229,92.59259259259258,100,3.444444444444444
61,EST,U,13.691008,4.558363,28,44.677668,100,100,5.5357142857142865
62,OUEST,R,10.137708,5.495849,26,16.616132,96.15384615384615,96.15384615384615,4.961538461538462
63,NORD-OUEST,U,10.166249,5.967571,26,15.359759999999998,100,96.15384615384616,3.9230769230769234
64,EST,R,16.066787,2.621281,28,15.274028000000001,67.85714285714285,100,6.499999999999999
65,YAOUNDE,U,11.510405,3.863223,28,30.210544,100,100,4.357142857142857
66,SUD-OUEST,U,9.213397,4.018115,27,37.562805000000004,100,100,4.2592592592592595
67,OUEST,U,10.880422,5.729717,28,30.77284,100,100,5.785714285714286
68,EXTREME-NORD,R,15.314019,10.269892,28,56.788788,50,0,5.428571428571429
69,LITTORAL,R,9.590052,4.387741,27,21.250890000000002,51.851851851851855,85.18518518518519,4.481481481481482
70,SUD-OUEST,U,9.445619,4.63092,26,14.655238,100,100,2.9615384615384612
71,OUEST,R,9.993681,5.424928,27,27.018549000000004,85.18518518518518,88.88888888888889,4.777777777777778
72,YAOUNDE,U,11.53483,3.907015,28,52.037272,92.85714285714286,96.42857142857142,6.5
73,ADAMAOUA,R,13.377281,7.217011,27,18.632673,22.22222222222222,0,6
74,ADAMAOUA,U,13.581633,7.342041,28,13.750436,82.14285714285714,100,5.321428571428571
75,OUEST,U,10.626994,5.506991,28,43.104964,100,92.85714285714285,6.642857142857143
77,SUD-OUEST,U,9.311226,4.081024,27,25.176258,100.00000000000001,96.29629629629629,3.555555555555556
78,OUEST,R,10.19175,5.159678,28,30.671088,96.42857142857142,100,4.571428571428571
79,ADAMAOUA,R,14.116911,6.89861,28,13.875148,46.42857142857143,0,6.607142857142857
80,OUEST,R,11.109744,5.514035,28,45.943884,17.857142857142858,0,6.5
81,EXTREME-NORD,R,14.306798,12.370664,28,21.813512,100,0,5.92857142857143
82,YAOUNDE,U,11.495208,3.932079,28,52.697792,100,96.42857142857143,5.678571428571429
83,SUD,R,12.133115,2.849471,28,10.753708,78.57142857142857,50,7.142857142857142
84,NORD,R,14.007306,8.974587,28,32.452867999999995,14.285714285714286,21.42857142857143,6.321428571428572
85,ADAMAOUA,R,12.173967,6.821946,28,3.074092,85.71428571428571,0,4.571428571428571
86,EST,R,13.808248,4.066,28,9.268139999999999,7.142857142857143,0,6.142857142857143
87,EXTREME-NORD,R,14.137739,10.773269,28,26.33442,57.14285714285714,0,5.5
88,EXTREME-NORD,R,14.456058,10.652,28,56.655480000000004,82.14285714285715,25,4.678571428571428
89,YAOUNDE,U,11.527326,3.875797,28,34.973904000000005,100,100,3.8214285714285716
90,CENTRE,R,12.980352,4.954135,28,24.98104,28.571428571428573,0,5.392857142857142
91,LITTORAL,U,10.108286,3.809854,27,9.367542,100,100,3.8518518518518516
92,OUEST,U,10.0137,5.160928,28,17.768072,100,100,5.285714285714286
93,SUD,R,12.364209,3.438211,28,12.988555999999999,64.28571428571429,0,6.392857142857142
94,EST,U,13.288619,4.90973,28,20.004516000000002,96.42857142857143,82.14285714285714,7.75
95,YAOUNDE,U,11.554256,3.858902,28,27.699504,96.42857142857143,92.85714285714285,4.892857142857143
96,EXTREME-NORD,U,14.461078,12.576924,28,44.648156,100,0,5.892857142857143
97,SUD,R,11.39137,2.989591,28,11.22898,64.28571428571428,71.42857142857142,7.035714285714286
98,DOUALA,U,9.677475,4.070072,27,23.86368,100,92.5925925925926,4.7407407407407405
99,DOUALA,U,9.756071,4.021958,28,64.52034400000001,100,100,4.642857142857142
100,OUEST,R,10.258331,5.2395,28,18.112807999999998,75,71.42857142857143,4.607142857142857
101,CENTRE,R,10.834808,3.891966,27,23.700762,92.59259259259258,88.88888888888887,3.185185185185185
102,OUEST,R,10.799964,5.453997,28,45.294171999999996,7.142857142857142,0,5.7142857142857135
103,EXTREME-NORD,R,15.06912,10.838436,1,0.181747,0,0,2
105,NORD,R,14.87108,7.843986,28,47.86782,53.57142857142857,3.5714285714285716,6.285714285714286
106,CENTRE,R,10.72858,4.046224,28,12.338424,89.28571428571429,67.85714285714286,4.964285714285714
107,YAOUNDE,U,11.573443,3.866784,28,11.552464,100,100,4.392857142857143
108,OUEST,R,10.863373,5.623979,28,31.788204000000004,46.42857142857142,0,6.535714285714286
109,LITTORAL,U,9.950313,4.950831,28,10.653888,99.99999999999999,99.99999999999999,5.25
110,DOUALA,U,9.700957,4.027739,27,27.084969,100,96.29629629629628,3.4814814814814814
112,SUD,R,11.087841,2.89871,28,14.588587999999998,46.42857142857143,100,7.2857142857142865
113,CENTRE,R,11.97156,3.541589,28,24.968580000000003,21.428571428571427,50,6.678571428571428
114,OUEST,R,10.282935,5.493714,26,22.400014000000002,84.61538461538461,84.61538461538461,3.8076923076923075
115,EXTREME-NORD,R,14.312438,10.368687,28,24.78952,82.14285714285714,0,4.678571428571429
116,NORD-OUEST,U,10.857805,6.187259,26,19.140082,96.15384615384615,73.07692307692307,3.7692307692307687
117,EST,U,13.67567,4.568186,28,17.811696,96.42857142857143,100,4.714285714285714
118,NORD,R,13.78377,9.223458,28,40.084072,32.14285714285714,35.71428571428571,7.071428571428571
119,EST,R,15.13599,2.028929,28,15.563996000000001,14.285714285714285,3.571428571428571,7.071428571428572
120,LITTORAL,U,9.856234,5.087755,28,12.655776,28.57142857142857,85.71428571428572,6.678571428571429
121,DOUALA,U,9.667228,4.095782,27,49.213683,100,100,3.6296296296296293
122,NORD,U,13.944999,9.920982,27,23.944923,96.2962962962963,88.8888888888889,4.518518518518518
123,ADAMAOUA,R,13.855296,7.507565,28,32.928756,50,0,4.75
125,DOUALA,U,9.679091,4.078127,27,33.351669,100,92.59259259259258,3.6296296296296293
126,DOUALA,U,9.762969,3.973698,25,37.545725000000004,100,100,4.8
127,YAOUNDE,U,11.498884,3.894334,28,13.932687999999999,100,100,4.357142857142858
128,NORD,R,14.023692,9.936658,27,38.353527,0,44.44444444444445,6.481481481481481
129,NORD-OUEST,U,10.722468,6.585718,26,18.756712,100,0,5.115384615384616
130,EXTREME-NORD,R,14.068868,11.090558,28,75.740784,67.85714285714286,0,4.249999999999999
132,SUD,U,11.27011,2.393872,28,8.238468000000001,92.85714285714286,100,5.2142857142857135
133,YAOUNDE,U,11.471389,3.822567,23,40.835948,100,100,4
134,NORD,R,13.876901,9.820205,27,39.259053,14.814814814814817,25.925925925925927,6.333333333333333
135,EXTREME-NORD,R,13.865085,10.793888,28,12.67,3.5714285714285716,0,6.071428571428571
136,EXTREME-NORD,U,14.028217,11.169955,28,27.8572,92.85714285714285,3.571428571428571,7.071428571428572
137,EXTREME-NORD,R,14.828123,10.247075,28,43.793932,64.28571428571429,0,5.178571428571428
138,SUD-OUEST,U,9.256931,4.158475,26,9.656789999999999,100,100,3.730769230769231
140,CENTRE,R,12.475313,4.327967,28,24.706836000000003,0,0,7.1428571428571415
141,EXTREME-NORD,R,14.078265,11.156257,28,20.920228,78.57142857142857,0,7.392857142857142
143,NORD,U,13.518951,9.020506,28,21.741384,85.71428571428571,53.57142857142856,7.107142857142858
144,NORD-OUEST,U,10.539598,6.589667,28,22.570324,89.28571428571429,0,4.071428571428571
145,LITTORAL,R,9.961853,4.958219,28,7.721084000000001,92.85714285714285,96.42857142857142,4.035714285714286
146,DOUALA,U,9.734015,4.049476,28,20.006616,100,100,4.071428571428571
147,NORD-OUEST,R,10.471114,6.000152,25,23.508599999999998,60.00000000000001,56.00000000000001,5.040000000000001
149,YAOUNDE,U,11.543091,3.872237,28,15.560272,96.42857142857143,100,3.928571428571429
150,EST,R,14.590552,4.671398,28,18.872392,96.42857142857143,0,4.9642857142857135
151,OUEST,U,10.53356,5.121192,28,37.892148,100,100,4.75
152,CENTRE,U,12.390692,4.661591,28,23.341528,96.42857142857143,96.42857142857143,6.999999999999999
153,DOUALA,U,9.715061,4.044455,22,20.779616,100,95.45454545454544,4.136363636363637
155,CENTRE,U,11.878807,4.09988,26,16.066414,92.30769230769229,23.076923076923073,4.153846153846154
156,DOUALA,U,9.657809,4.077046,26,51.502412,100.00000000000001,100.00000000000001,4.038461538461538
157,NORD,R,14.167312,9.908817,28,28.316652,53.57142857142856,0,6.249999999999999
158,ADAMAOUA,U,13.601149,7.296652,27,30.187971,74.07407407407408,77.77777777777779,5.296296296296297
159,EST,U,14.555931,5.898702,28,32.047568,82.14285714285714,78.57142857142857,4.964285714285714
160,OUEST,U,10.411603,5.490856,28,14.541744000000001,100,100,3.642857142857143
161,SUD,U,9.901703,2.928655,28,15.743196000000001,100,100,3.4999999999999996
162,CENTRE,U,11.266164,4.364153,28,28.408883999999997,71.42857142857143,78.57142857142857,4.464285714285714
163,YAOUNDE,U,11.498376,3.864014,28,7.658391999999999,100,100,1.6428571428571428
164,NORD,R,12.913197,8.923251,28,43.885324000000004,3.5714285714285716,0,6.928571428571429
165,LITTORAL,U,9.64448,4.175107,28,14.5495,100,96.42857142857143,4.464285714285714
166,NORD,R,13.755898,8.994368,26,96.169008,26.923076923076923,0,8.615384615384615
167,DOUALA,U,9.745479,4.0765,28,69.135948,100,100,3.7500000000000004
168,ADAMAOUA,U,12.661943,7.371614,28,12.174568,82.14285714285714,96.42857142857143,5.714285714285714
169,EXTREME-NORD,U,14.441903,10.122273,28,28.506548000000002,96.42857142857143,85.71428571428571,3.035714285714286
170,ADAMAOUA,R,14.241201,6.602356,27,24.377760000000002,48.14814814814814,37.03703703703703,5.962962962962963
171,ADAMAOUA,R,14.049473,6.211322,25,34.0081,12,0,5.24
172,DOUALA,U,9.752529,4.002358,28,35.098392000000004,100,92.85714285714285,3.749999999999999
174,YAOUNDE,U,11.500002,3.855104,26,18.619042,96.15384615384615,100,3.8461538461538463
175,OUEST,R,10.372335,5.523277,28,39.291336,75,28.57142857142857,6.214285714285714
176,NORD,U,13.396392,9.358203,26,34.520174,100,61.53846153846155,6.615384615384616
177,ADAMAOUA,U,14.444242,7.047037,27,16.137764999999998,70.37037037037038,59.25925925925927,4.592592592592593
178,YAOUNDE,U,11.487964,3.826691,26,28.346083999999998,100,100,3.115384615384616
179,YAOUNDE,U,11.514344,3.933296,28,48.500676,100.00000000000001,100.00000000000001,5.357142857142857
180,LITTORAL,R,9.873705,3.811437,25,9.033724999999999,96,88.00000000000001,3.5600000000000005
181,EXTREME-NORD,R,14.19245,10.440494,27,46.473399,59.25925925925925,3.7037037037037033,5.148148148148148
182,NORD,U,13.865479,9.311517,28,18.872168,25,21.428571428571434,5.178571428571429
183,EST,R,13.650461,4.615053,28,22.601124,82.14285714285715,10.714285714285714,5.464285714285714
184,OUEST,R,10.510703,5.695101,28,26.263664000000002,71.42857142857143,71.42857142857143,7.071428571428571
