x,y,densite,bandwidth,sigma_m,sous_population
-219153.96115026652,503735.67952295934,1.7399210347136753e-4,petit,35770.82265737722,tous
-219153.96115026652,514262.3668710146,1.1904379654826858e-4,petit,35770.82265737722,tous
-212027.4690052652,503735.67952295934,2.3331946837927033e-4,petit,35770.82265737722,tous
-212027.4690052652,514262.3668710146,1.6198810329845495e-4,petit,35770.82265737722,tous
-212027.4690052652,524789.0542190699,1.1407862098822222e-4,petit,35770.82265737722,tous
-212027.4690052652,535315.7415671252,8.13774763890393e-5,petit,35770.82265737722,tous
-204900.97686026385,503735.67952295934,3.093372514421499e-4,petit,35770.82265737722,tous
-204900.97686026385,514262.3668710146,2.1810574302180648e-4,petit,35770.82265737722,tous
-204900.97686026385,524789.0542190699,1.5560988411816835e-4,petit,35770.82265737722,tous
-204900.97686026385,535315.7415671252,1.1206992432084166e-4,petit,35770.82265737722,tous
-204900.97686026385,545842.4289151805,8.071520765773484e-5,petit,35770.82265737722,tous
-197774.48471526252,503735.67952295934,4.0528147526737e-4,petit,35770.82265737722,tous
-197774.48471526252,514262.3668710146,2.903574615706721e-4,petit,35770.82265737722,tous
-197774.48471526252,524789.0542190699,2.0993197107362435e-4,petit,35770.82265737722,tous
-197774.48471526252,535315.7415671252,1.5266268433241926e-4,petit,35770.82265737722,tous
-197774.48471526252,545842.4289151805,1.1056066468683031e-4,petit,35770.82265737722,tous
-197774.48471526252,556369.1162632357,7.865367018534928e-5,petit,35770.82265737722,tous
-190647.99257026118,514262.3668710146,3.8192618028243583e-4,petit,35770.82265737722,tous
-190647.99257026118,524789.0542190699,2.7986817010269957e-4,petit,35770.82265737722,tous
-190647.99257026118,535315.7415671252,2.055220314952374e-4,petit,35770.82265737722,tous
-190647.99257026118,545842.4289151805,1.4971294176588794e-4,petit,35770.82265737722,tous
-190647.99257026118,556369.1162632357,1.0675255907921773e-4,petit,35770.82265737722,tous
-190647.99257026118,566895.803611291,7.353489645065724e-5,petit,35770.82265737722,tous
-183521.50042525984,503735.67952295934,6.703782059880691e-4,petit,35770.82265737722,tous
-183521.50042525984,514262.3668710146,4.960544947140221e-4,petit,35770.82265737722,tous
-183521.50042525984,524789.0542190699,3.6838650853050146e-4,petit,35770.82265737722,tous
-183521.50042525984,535315.7415671252,2.7321681137906345e-4,petit,35770.82265737722,tous
-183521.50042525984,545842.4289151805,2.002847619487692e-4,petit,35770.82265737722,tous
-183521.50042525984,556369.1162632357,1.4329003863657502e-4,petit,35770.82265737722,tous
-183521.50042525984,566895.803611291,9.887083702131936e-5,petit,35770.82265737722,tous
-183521.50042525984,577422.4909593463,6.523994211508144e-5,petit,35770.82265737722,tous
-183521.50042525984,587949.1783074015,4.104070480262058e-5,petit,35770.82265737722,tous
-183521.50042525984,598475.8656554568,2.4727364516678278e-5,petit,35770.82265737722,tous
-176395.0082802585,493208.9921749041,0.0011256644799816965,petit,35770.82265737722,tous
-176395.0082802585,503735.67952295934,8.459425845845633e-4,petit,35770.82265737722,tous
-176395.0082802585,514262.3668710146,6.358059108972726e-4,petit,35770.82265737722,tous
-176395.0082802585,524789.0542190699,4.783982212577258e-4,petit,35770.82265737722,tous
-176395.0082802585,535315.7415671252,3.5838166862513834e-4,petit,35770.82265737722,tous
-176395.0082802585,545842.4289151805,2.6455431344402157e-4,petit,35770.82265737722,tous
-176395.0082802585,556369.1162632357,1.9016234651601872e-4,petit,35770.82265737722,tous
-176395.0082802585,566895.803611291,1.3172554706337826e-4,petit,35770.82265737722,tous
-176395.0082802585,577422.4909593463,8.737074898457716e-5,petit,35770.82265737722,tous
-176395.0082802585,587949.1783074015,5.5466771273980704e-5,petit,35770.82265737722,tous
-176395.0082802585,598475.8656554568,3.3967198538068935e-5,petit,35770.82265737722,tous
-176395.0082802585,609002.5530035121,2.0440459400425972e-5,petit,35770.82265737722,tous
-176395.0082802585,630055.9276996227,8.018313021699005e-6,petit,35770.82265737722,tous
-176395.0082802585,640582.6150476779,5.645712763045921e-6,petit,35770.82265737722,tous
-176395.0082802585,651109.3023957332,4.421881587949063e-6,petit,35770.82265737722,tous
-169268.51613525717,472155.6174787935,0.002298751349266207,petit,35770.82265737722,tous
-169268.51613525717,482682.3048268488,0.0017945084077844145,petit,35770.82265737722,tous
-169268.51613525717,493208.9921749041,0.0013798221813078495,petit,35770.82265737722,tous
-169268.51613525717,503735.67952295934,0.001053716338936657,petit,35770.82265737722,tous
-169268.51613525717,514262.3668710146,8.037373120814587e-4,petit,35770.82265737722,tous
-169268.51613525717,524789.0542190699,6.124754315930096e-4,petit,35770.82265737722,tous
-169268.51613525717,535315.7415671252,4.6351738557414015e-4,petit,35770.82265737722,tous
-169268.51613525717,545842.4289151805,3.4486036627111923e-4,petit,35770.82265737722,tous
-169268.51613525717,556369.1162632357,2.494797480850247e-4,petit,35770.82265737722,tous
-169268.51613525717,566895.803611291,1.7394676577547923e-4,petit,35770.82265737722,tous
-169268.51613525717,577422.4909593463,1.1639574384287172e-4,petit,35770.82265737722,tous
-169268.51613525717,587949.1783074015,7.491554677370038e-5,petit,35770.82265737722,tous
-169268.51613525717,598475.8656554568,4.687943958791656e-5,petit,35770.82265737722,tous
-169268.51613525717,609002.5530035121,2.9126152016476737e-5,petit,35770.82265737722,tous
-169268.51613525717,619529.2403515674,1.853384555092924e-5,petit,35770.82265737722,tous
-169268.51613525717,630055.9276996227,1.2517734847914305e-5,petit,35770.82265737722,tous
-169268.51613525717,640582.6150476779,9.226499626957226e-6,petit,35770.82265737722,tous
-169268.51613525717,651109.3023957332,7.472784604205832e-6,petit,35770.82265737722,tous
-162142.02399025584,451102.242782683,0.0040091482151002385,petit,35770.82265737722,tous
-162142.02399025584,461628.93013073824,0.003338985115742098,petit,35770.82265737722,tous
-162142.02399025584,472155.6174787935,0.0027045766312644277,petit,35770.82265737722,tous
-162142.02399025584,482682.3048268488,0.0021421701674461248,petit,35770.82265737722,tous
