NAME_1,sexe,tranche_age,ordre_tranche,effectif
Adamaoua,Femmes,00_04,1,131173
Adamaoua,Femmes,05_09,2,110787
Adamaoua,Femmes,10_14,3,94880
Adamaoua,Femmes,15_19,4,79681
Adamaoua,Femmes,20_24,5,73819
Adamaoua,Femmes,25_29,6,65668
Adamaoua,Femmes,30_34,7,53104
Adamaoua,Femmes,35_39,8,45354
Adamaoua,Femmes,40_44,9,37916
Adamaoua,Femmes,45_49,10,29734
Adamaoua,Femmes,50_54,11,22899
Adamaoua,Femmes,55_59,12,16860
Adamaoua,Femmes,60_64,13,14141
Adamaoua,Femmes,65_69,14,8897
Adamaoua,Femmes,70_74,15,6504
Adamaoua,Femmes,75_79,16,2728
Adamaoua,Femmes,80Plus,17,2649
Adamaoua,Hommes,00_04,1,125784
Adamaoua,Hommes,05_09,2,104416
Adamaoua,Hommes,10_14,3,88889
Adamaoua,Hommes,15_19,4,74014
Adamaoua,Hommes,20_24,5,71082
Adamaoua,Hommes,25_29,6,65045
Adamaoua,Hommes,30_34,7,54070
Adamaoua,Hommes,35_39,8,41305
Adamaoua,Hommes,40_44,9,31944
Adamaoua,Hommes,45_49,10,24457
Adamaoua,Hommes,50_54,11,18839
Adamaoua,Hommes,55_59,12,14233
Adamaoua,Hommes,60_64,13,12013
Adamaoua,Hommes,65_69,14,8398
Adamaoua,Hommes,70_74,15,5667
Adamaoua,Hommes,75_79,16,2788
Adamaoua,Hommes,80Plus,17,2035
Centre,Femmes,00_04,1,331114
Centre,Femmes,05_09,2,306047
Centre,Femmes,10_14,3,295655
Centre,Femmes,15_19,4,269005
Centre,Femmes,20_24,5,253126
Centre,Femmes,25_29,6,208502
Centre,Femmes,30_34,7,191115
Centre,Femmes,35_39,8,200113
Centre,Femmes,40_44,9,189734
Centre,Femmes,45_49,10,148146
Centre,Femmes,50_54,11,105477
Centre,Femmes,55_59,12,81016
Centre,Femmes,60_64,13,63258
Centre,Femmes,65_69,14,49557
Centre,Femmes,70_74,15,31213
Centre,Femmes,75_79,16,15651
Centre,Femmes,80Plus,17,12918
Centre,Hommes,00_04,1,324896
Centre,Hommes,05_09,2,299853
Centre,Hommes,10_14,3,290246
Centre,Hommes,15_19,4,264692
Centre,Hommes,20_24,5,256492
Centre,Hommes,25_29,6,213066
Centre,Hommes,30_34,7,192792
Centre,Hommes,35_39,8,193907
Centre,Hommes,40_44,9,182314
Centre,Hommes,45_49,10,151304
Centre,Hommes,50_54,11,115427
Centre,Hommes,55_59,12,85362
Centre,Hommes,60_64,13,65973
Centre,Hommes,65_69,14,48142
Centre,Hommes,70_74,15,29409
Centre,Hommes,75_79,16,13704
Centre,Hommes,80Plus,17,8414
Est,Femmes,00_04,1,92189
Est,Femmes,05_09,2,80313
Est,Femmes,10_14,3,73593
Est,Femmes,15_19,4,69875
Est,Femmes,20_24,5,66318
Est,Femmes,25_29,6,54406
Est,Femmes,30_34,7,40770
Est,Femmes,35_39,8,38057
Est,Femmes,40_44,9,32914
Est,Femmes,45_49,10,25172
Est,Femmes,50_54,11,19917
Est,Femmes,55_59,12,16125
Est,Femmes,60_64,13,12627
Est,Femmes,65_69,14,9952
Est,Femmes,70_74,15,6358
Est,Femmes,75_79,16,3318
Est,Femmes,80Plus,17,2562
Est,Hommes,00_04,1,91784
Est,Hommes,05_09,2,79588
Est,Hommes,10_14,3,72901
Est,Hommes,15_19,4,69176
Est,Hommes,20_24,5,67718
Est,Hommes,25_29,6,56406
Est,Hommes,30_34,7,46134
Est,Hommes,35_39,8,36033
Est,Hommes,40_44,9,28285
Est,Hommes,45_49,10,24416
Est,Hommes,50_54,11,20003
Est,Hommes,55_59,12,15102
Est,Hommes,60_64,13,12065
Est,Hommes,65_69,14,9373
Est,Hommes,70_74,15,5766
Est,Hommes,75_79,16,2796
Est,Hommes,80Plus,17,1759
Extrême-Nord,Femmes,00_04,1,540446
Extrême-Nord,Femmes,05_09,2,432057
Extrême-Nord,Femmes,10_14,3,348253
Extrême-Nord,Femmes,15_19,4,283753
Extrême-Nord,Femmes,20_24,5,253319
Extrême-Nord,Femmes,25_29,6,221159
Extrême-Nord,Femmes,30_34,7,157927
Extrême-Nord,Femmes,35_39,8,117503
Extrême-Nord,Femmes,40_44,9,96582
Extrême-Nord,Femmes,45_49,10,86578
Extrême-Nord,Femmes,50_54,11,69146
Extrême-Nord,Femmes,55_59,12,48972
Extrême-Nord,Femmes,60_64,13,45565
Extrême-Nord,Femmes,65_69,14,25758
Extrême-Nord,Femmes,70_74,15,24749
Extrême-Nord,Femmes,75_79,16,7269
Extrême-Nord,Femmes,80Plus,17,9087
Extrême-Nord,Hommes,00_04,1,557901
Extrême-Nord,Hommes,05_09,2,449577
Extrême-Nord,Hommes,10_14,3,361972
Extrême-Nord,Hommes,15_19,4,294711
Extrême-Nord,Hommes,20_24,5,259056
Extrême-Nord,Hommes,25_29,6,227433
Extrême-Nord,Hommes,30_34,7,170317
Extrême-Nord,Hommes,35_39,8,114699
Extrême-Nord,Hommes,40_44,9,71870
Extrême-Nord,Hommes,45_49,10,56244
Extrême-Nord,Hommes,50_54,11,45321
Extrême-Nord,Hommes,55_59,12,32998
Extrême-Nord,Hommes,60_64,13,30334
Extrême-Nord,Hommes,65_69,14,21886
Extrême-Nord,Hommes,70_74,15,19111
Extrême-Nord,Hommes,75_79,16,9188
Extrême-Nord,Hommes,80Plus,17,8375
Littoral,Femmes,00_04,1,236263
Littoral,Femmes,05_09,2,223087
Littoral,Femmes,10_14,3,228743
Littoral,Femmes,15_19,4,221013
Littoral,Femmes,20_24,5,189619
Littoral,Femmes,25_29,6,164648
Littoral,Femmes,30_34,7,156122
Littoral,Femmes,35_39,8,169334
Littoral,Femmes,40_44,9,172287
Littoral,Femmes,45_49,10,143927
Littoral,Femmes,50_54,11,104056
Littoral,Femmes,55_59,12,78409
Littoral,Femmes,60_64,13,60060
Littoral,Femmes,65_69,14,44973
Littoral,Femmes,70_74,15,29187
Littoral,Femmes,75_79,16,13566
Littoral,Femmes,80Plus,17,10842
Littoral,Hommes,00_04,1,238982
Littoral,Hommes,05_09,2,225598
Littoral,Hommes,10_14,3,231568
Littoral,Hommes,15_19,4,223792
Littoral,Hommes,20_24,5,196398
Littoral,Hommes,25_29,6,167068
Littoral,Hommes,30_34,7,155966
Littoral,Hommes,35_39,8,162661
Littoral,Hommes,40_44,9,156559
Littoral,Hommes,45_49,10,136378
Littoral,Hommes,50_54,11,113497
Littoral,Hommes,55_59,12,84801
Littoral,Hommes,60_64,13,62991
Littoral,Hommes,65_69,14,46036
Littoral,Hommes,70_74,15,29710
Littoral,Hommes,75_79,16,13240
Littoral,Hommes,80Plus,17,7486
Nord,Femmes,00_04,1,324035
Nord,Femmes,05_09,2,258829
Nord,Femmes,10_14,3,211408
Nord,Femmes,15_19,4,176890
Nord,Femmes,20_24,5,158193
Nord,Femmes,25_29,6,140510
Nord,Femmes,30_34,7,102131
Nord,Femmes,35_39,8,93208
Nord,Femmes,40_44,9,81514
Nord,Femmes,45_49,10,70382
Nord,Femmes,50_54,11,53147
Nord,Femmes,55_59,12,37324
Nord,Femmes,60_64,13,29726
Nord,Femmes,65_69,14,16910
Nord,Femmes,70_74,15,12876
Nord,Femmes,75_79,16,4456
Nord,Femmes,80Plus,17,4309
Nord,Hommes,00_04,1,321005
Nord,Hommes,05_09,2,256142
Nord,Hommes,10_14,3,208366
Nord,Hommes,15_19,4,173584
Nord,Hommes,20_24,5,157008
Nord,Hommes,25_29,6,139301
Nord,Hommes,30_34,7,107260
Nord,Hommes,35_39,8,83393
Nord,Hommes,40_44,9,65116
Nord,Hommes,45_49,10,54804
Nord,Hommes,50_54,11,44750
Nord,Hommes,55_59,12,32191
Nord,Hommes,60_64,13,26447
Nord,Hommes,65_69,14,18784
Nord,Hommes,70_74,15,12221
Nord,Hommes,75_79,16,5879
Nord,Hommes,80Plus,17,3817
Nord-Ouest,Femmes,00_04,1,165769
Nord-Ouest,Femmes,05_09,2,157023
Nord-Ouest,Femmes,10_14,3,151046
Nord-Ouest,Femmes,15_19,4,136354
Nord-Ouest,Femmes,20_24,5,109750
Nord-Ouest,Femmes,25_29,6,106860
Nord-Ouest,Femmes,30_34,7,102711
Nord-Ouest,Femmes,35_39,8,89803
Nord-Ouest,Femmes,40_44,9,67126
Nord-Ouest,Femmes,45_49,10,53482
Nord-Ouest,Femmes,50_54,11,40795
Nord-Ouest,Femmes,55_59,12,31716
Nord-Ouest,Femmes,60_64,13,25583
Nord-Ouest,Femmes,65_69,14,20560
Nord-Ouest,Femmes,70_74,15,14523
Nord-Ouest,Femmes,75_79,16,9517
