x,y,pop,frac_inondee
15.333749,10.267084,6.0742,0.641
15.334583,10.267084,9.1444,0.515
15.335416,10.267084,10.7412,0.0235
15.336249,10.267084,10.2124,0.0544
15.337083,10.267084,4.0663,0.7782
15.337916,10.267084,2.2926,0.8879
15.347916,10.267084,0.0929,0
15.348749,10.267084,4.0402,0
15.349583,10.267084,7.5293,0.054
15.350416,10.267084,11.1181,0.2975
15.351249,10.267084,12.635,0.013
15.352083,10.267084,3.9678,0
15.352916,10.267084,1.8675,0
15.353749,10.267084,2.2835,0
15.354583,10.267084,2.344,0
15.355416,10.267084,1.2022,0
15.333749,10.26625,4.3382,0.7155
15.334583,10.26625,6.0884,0.3262
15.335416,10.26625,7.3842,0.0137
15.336249,10.26625,14.5787,0.0145
15.337083,10.26625,7.421,0.3602
15.337916,10.26625,2.526,1
15.345416,10.26625,5.5583,0.0271
15.347916,10.26625,0.0876,0.5075
15.348749,10.26625,2.0193,0.293
15.349583,10.26625,5.6952,0.2698
15.350416,10.26625,10.4085,0.6859
15.351249,10.26625,10.8761,0.3596
15.352083,10.26625,6.2479,0
15.352916,10.26625,3.7325,0
15.353749,10.26625,4.5258,0
15.354583,10.26625,3.8194,0
15.355416,10.26625,1.4231,0
15.334583,10.265417,0.4596,0.5862
15.335416,10.265417,4.6854,0.2764
15.336249,10.265417,8.9223,0.1808
15.337083,10.265417,7.7129,0.0038
15.337916,10.265417,2.2292,0.7432
15.348749,10.265417,0.9659,0.0735
15.349583,10.265417,3.0892,0
15.350416,10.265417,3.635,0.3138
15.351249,10.265417,4.6943,0.0314
15.352083,10.265417,4.3323,0
15.352916,10.265417,2.5751,0
15.353749,10.265417,3.7048,0
15.354583,10.265417,4.1631,0
15.355416,10.265417,1.8815,0
15.357916,10.265417,3.6789,0
15.358749,10.265417,7.2111,0
15.359583,10.265417,7.4989,0
15.360416,10.265417,4.8911,0
15.333749,10.264584,0.1449,1
15.334583,10.264584,0.3627,0.7546
15.335416,10.264584,0.7299,0.7084
15.336249,10.264584,1.2256,0.5151
15.337083,10.264584,0.6381,0.2338
15.348749,10.264584,0.2929,0.0141
15.349583,10.264584,1.0319,3e-4
15.350416,10.264584,1.6739,0
15.351249,10.264584,0.8968,0
15.352083,10.264584,0.0754,0
15.352916,10.264584,0.1501,0
15.353749,10.264584,0.6572,0
15.354583,10.264584,1.5806,0
15.355416,10.264584,1.0766,0
