date,annee,mois,t2m_c
1940-01-01,1940,1,24.025
1940-02-01,1940,2,24.757
1940-03-01,1940,3,25.009
1940-04-01,1940,4,24.766
1940-05-01,1940,5,24.335
1940-06-01,1940,6,23.569
1940-07-01,1940,7,23.04
1940-08-01,1940,8,22.948
1940-09-01,1940,9,22.842
1940-10-01,1940,10,23.048
1940-11-01,1940,11,22.818
1940-12-01,1940,12,23.86
1941-01-01,1941,1,24.509
1941-02-01,1941,2,25.534
1941-03-01,1941,3,26.446
1941-04-01,1941,4,26.085
1941-05-01,1941,5,24.365
1941-06-01,1941,6,24.035
1941-07-01,1941,7,22.963
1941-08-01,1941,8,22.978
1941-09-01,1941,9,22.701
1941-10-01,1941,10,23.602
1941-11-01,1941,11,23.294
1941-12-01,1941,12,23.576
1942-01-01,1942,1,24.473
1942-02-01,1942,2,25.296
1942-03-01,1942,3,25.442
1942-04-01,1942,4,24.73
1942-05-01,1942,5,24.122
1942-06-01,1942,6,23.514
1942-07-01,1942,7,22.164
1942-08-01,1942,8,22.203
1942-09-01,1942,9,22.425
1942-10-01,1942,10,22.975
1942-11-01,1942,11,23.611
1942-12-01,1942,12,23.539
1943-01-01,1943,1,24.203
1943-02-01,1943,2,25.194
1943-03-01,1943,3,25.049
1943-04-01,1943,4,24.754
1943-05-01,1943,5,24.211
1943-06-01,1943,6,23.811
1943-07-01,1943,7,22.148
1943-08-01,1943,8,22.494
1943-09-01,1943,9,23.174
1943-10-01,1943,10,24
1943-11-01,1943,11,23.079
1943-12-01,1943,12,24.077
1944-01-01,1944,1,24.403
1944-02-01,1944,2,25.549
1944-03-01,1944,3,25.367
1944-04-01,1944,4,24.722
1944-05-01,1944,5,24.534
1944-06-01,1944,6,23.437
1944-07-01,1944,7,22.385
1944-08-01,1944,8,22.397
1944-09-01,1944,9,22.64
1944-10-01,1944,10,23.007
1944-11-01,1944,11,23.485
1944-12-01,1944,12,24.054
1945-01-01,1945,1,24.629
1945-02-01,1945,2,24.544
1945-03-01,1945,3,25.723
1945-04-01,1945,4,25.741
1945-05-01,1945,5,23.68
1945-06-01,1945,6,23.519
1945-07-01,1945,7,22.376
1945-08-01,1945,8,22.244
1945-09-01,1945,9,22.586
1945-10-01,1945,10,22.707
1945-11-01,1945,11,23.554
1945-12-01,1945,12,23.446
1946-01-01,1946,1,24.495
1946-02-01,1946,2,26.111
1946-03-01,1946,3,25.907
1946-04-01,1946,4,25.347
1946-05-01,1946,5,24.207
1946-06-01,1946,6,22.849
1946-07-01,1946,7,22.198
1946-08-01,1946,8,22.074
1946-09-01,1946,9,21.939
1946-10-01,1946,10,21.954
1946-11-01,1946,11,22.961
1946-12-01,1946,12,23.738
1947-01-01,1947,1,24.347
1947-02-01,1947,2,25.528
1947-03-01,1947,3,25.804
1947-04-01,1947,4,25.59
1947-05-01,1947,5,24.12
1947-06-01,1947,6,22.731
1947-07-01,1947,7,22.161
1947-08-01,1947,8,22.223
1947-09-01,1947,9,22.593
1947-10-01,1947,10,22.843
1947-11-01,1947,11,23.199
1947-12-01,1947,12,23.55
1948-01-01,1948,1,24.215
1948-02-01,1948,2,24.959
1948-03-01,1948,3,25.019
1948-04-01,1948,4,24.551
1948-05-01,1948,5,24.717
1948-06-01,1948,6,23.628
1948-07-01,1948,7,22.444
1948-08-01,1948,8,22.179
1948-09-01,1948,9,22.04
1948-10-01,1948,10,22.411
1948-11-01,1948,11,22.889
1948-12-01,1948,12,23.369
1949-01-01,1949,1,24.842
1949-02-01,1949,2,25.19
1949-03-01,1949,3,26.219
1949-04-01,1949,4,25.657
1949-05-01,1949,5,24.879
1949-06-01,1949,6,23.957
1949-07-01,1949,7,23.072
1949-08-01,1949,8,22.489
1949-09-01,1949,9,23.009
1949-10-01,1949,10,23.411
1949-11-01,1949,11,23.907
1949-12-01,1949,12,23.712
1950-01-01,1950,1,24.557
1950-02-01,1950,2,24.908
1950-03-01,1950,3,25.226
1950-04-01,1950,4,25.354
1950-05-01,1950,5,24.542
1950-06-01,1950,6,23.484
1950-07-01,1950,7,22.126
1950-08-01,1950,8,21.905
1950-09-01,1950,9,22.735
1950-10-01,1950,10,22.721
1950-11-01,1950,11,23.115
