NAME_1,date,annee,mois,t2m_c
Adamaoua,1940-01-01,1940,1,23.959
Adamaoua,1940-02-01,1940,2,24.931
Adamaoua,1940-03-01,1940,3,24.966
Adamaoua,1940-04-01,1940,4,23.35
Adamaoua,1940-05-01,1940,5,22.375
Adamaoua,1940-06-01,1940,6,21.579
Adamaoua,1940-07-01,1940,7,20.924
Adamaoua,1940-08-01,1940,8,21.021
Adamaoua,1940-09-01,1940,9,21.078
Adamaoua,1940-10-01,1940,10,21.453
Adamaoua,1940-11-01,1940,11,21.537
Adamaoua,1940-12-01,1940,12,23.372
Adamaoua,1941-01-01,1941,1,24.158
Adamaoua,1941-02-01,1941,2,25.291
Adamaoua,1941-03-01,1941,3,26.669
Adamaoua,1941-04-01,1941,4,25.236
Adamaoua,1941-05-01,1941,5,22.268
Adamaoua,1941-06-01,1941,6,21.834
Adamaoua,1941-07-01,1941,7,20.836
Adamaoua,1941-08-01,1941,8,21.174
Adamaoua,1941-09-01,1941,9,20.975
Adamaoua,1941-10-01,1941,10,21.928
Adamaoua,1941-11-01,1941,11,21.65
Adamaoua,1941-12-01,1941,12,22.54
Adamaoua,1942-01-01,1942,1,24.039
Adamaoua,1942-02-01,1942,2,25.013
Adamaoua,1942-03-01,1942,3,25.455
Adamaoua,1942-04-01,1942,4,23.128
Adamaoua,1942-05-01,1942,5,22.107
Adamaoua,1942-06-01,1942,6,21.283
Adamaoua,1942-07-01,1942,7,20.158
Adamaoua,1942-08-01,1942,8,20.443
Adamaoua,1942-09-01,1942,9,20.825
Adamaoua,1942-10-01,1942,10,21.709
Adamaoua,1942-11-01,1942,11,22.852
Adamaoua,1942-12-01,1942,12,22.967
Adamaoua,1943-01-01,1943,1,24.159
Adamaoua,1943-02-01,1943,2,25.346
Adamaoua,1943-03-01,1943,3,24.506
Adamaoua,1943-04-01,1943,4,23.947
Adamaoua,1943-05-01,1943,5,22.482
Adamaoua,1943-06-01,1943,6,21.673
Adamaoua,1943-07-01,1943,7,20.44
Adamaoua,1943-08-01,1943,8,20.514
Adamaoua,1943-09-01,1943,9,21.697
Adamaoua,1943-10-01,1943,10,22.951
Adamaoua,1943-11-01,1943,11,21.937
Adamaoua,1943-12-01,1943,12,23.541
Adamaoua,1944-01-01,1944,1,23.736
Adamaoua,1944-02-01,1944,2,25.021
Adamaoua,1944-03-01,1944,3,24.632
Adamaoua,1944-04-01,1944,4,23.01
Adamaoua,1944-05-01,1944,5,22.618
Adamaoua,1944-06-01,1944,6,21.567
Adamaoua,1944-07-01,1944,7,20.456
Adamaoua,1944-08-01,1944,8,20.688
Adamaoua,1944-09-01,1944,9,21.031
Adamaoua,1944-10-01,1944,10,21.775
Adamaoua,1944-11-01,1944,11,22.924
Adamaoua,1944-12-01,1944,12,23.735
Adamaoua,1945-01-01,1945,1,24.385
