region,indicateur,indicateur_libelle,valeur,unite,enquete,annee
adamawa,ED_LITR_M_LIT,% hommes 15-59 alphabetises,55.54,%,CM2018DHS,2018
adamawa,ED_LITR_W_LIT,% femmes 15-49 alphabetisees,24.84,%,CM2018DHS,2018
adamawa,HC_ELEC_H_ELC,% menages avec electricite,46.32,%,CM2018DHS,2018
adamawa,HC_HHSZ_H_AVG,Taille moyenne menage,5.07,personnes,CM2018DHS,2018
adamawa,WS_SRCE_H_IMP,% menages avec source d'eau amelioree (def JMP),59.61,%,CM2018DHS,2018
centre (without yaounde),ED_LITR_M_LIT,% hommes 15-59 alphabetises,83.75,%,CM2018DHS,2018
centre (without yaounde),ED_LITR_W_LIT,% femmes 15-49 alphabetisees,75.69,%,CM2018DHS,2018
centre (without yaounde),HC_ELEC_H_ELC,% menages avec electricite,60.76,%,CM2018DHS,2018
centre (without yaounde),HC_HHSZ_H_AVG,Taille moyenne menage,6.14,personnes,CM2018DHS,2018
centre (without yaounde),WS_SRCE_H_IMP,% menages avec source d'eau amelioree (def JMP),65.87,%,CM2018DHS,2018
douala,ED_LITR_M_LIT,% hommes 15-59 alphabetises,79.93,%,CM2018DHS,2018
douala,ED_LITR_W_LIT,% femmes 15-49 alphabetisees,84.32,%,CM2018DHS,2018
douala,HC_ELEC_H_ELC,% menages avec electricite,98.63,%,CM2018DHS,2018
douala,HC_HHSZ_H_AVG,Taille moyenne menage,4.26,personnes,CM2018DHS,2018
douala,WS_SRCE_H_IMP,% menages avec source d'eau amelioree (def JMP),76.93,%,CM2018DHS,2018
east,ED_LITR_M_LIT,% hommes 15-59 alphabetises,66.67,%,CM2018DHS,2018
east,ED_LITR_W_LIT,% femmes 15-49 alphabetisees,52.6,%,CM2018DHS,2018
east,HC_ELEC_H_ELC,% menages avec electricite,44.19,%,CM2018DHS,2018
east,HC_HHSZ_H_AVG,Taille moyenne menage,5.65,personnes,CM2018DHS,2018
east,WS_SRCE_H_IMP,% menages avec source d'eau amelioree (def JMP),67.67,%,CM2018DHS,2018
far-north,ED_LITR_M_LIT,% hommes 15-59 alphabetises,48.69,%,CM2018DHS,2018
far-north,ED_LITR_W_LIT,% femmes 15-49 alphabetisees,22.47,%,CM2018DHS,2018
far-north,HC_ELEC_H_ELC,% menages avec electricite,19.59,%,CM2018DHS,2018
far-north,HC_HHSZ_H_AVG,Taille moyenne menage,5.49,personnes,CM2018DHS,2018
far-north,WS_SRCE_H_IMP,% menages avec source d'eau amelioree (def JMP),74.76,%,CM2018DHS,2018
littoral (without douala),ED_LITR_M_LIT,% hommes 15-59 alphabetises,78.98,%,CM2018DHS,2018
littoral (without douala),ED_LITR_W_LIT,% femmes 15-49 alphabetisees,75.72,%,CM2018DHS,2018
littoral (without douala),HC_ELEC_H_ELC,% menages avec electricite,82.96,%,CM2018DHS,2018
littoral (without douala),HC_HHSZ_H_AVG,Taille moyenne menage,4.61,personnes,CM2018DHS,2018
