event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CAO16153,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Mora,Tchakarmari,11.1855,14.2581,1,"Humanity Purpose","New media","On 1 January 2025, Boko Haram militants abducted and killed a young man at Tchakarmari (Mora, Mayo-Sava, Extreme-Nord) for an unknown reason.",1,,1776726696
CAO16161,2025-01-01,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Mayo-Moskota,Nguetchewe,10.9984,13.9415,1,"Humanity Purpose","New media","Looting: On 1 January 2025, Boko Haram militants looted 10 houses in Nguetchewe (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",0,,1776726696
CAO16455,2025-01-01,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Mora,Limani,11.2331,14.1711,1,"Humanity Purpose","New media","Looting: On 1 January 2025, Boko Haram militants looted goats, sheep, foodstuff, and other household equipment from civilians in Limani (Mora, Mayo-Sava, Extreme-Nord).",0,,1776726696
CAO20712,2025-01-01,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Mezam,"Bamenda 3","Bamenda - Nkwen",5.9951,10.1937,1,"Local Network",Other,"On 1 January 2025, Ambazonian Separatists abducted one person in the vicinity of Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest). His whereabouts remain unknown.",0,,1768269667
CAO20713,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Military Forces of Cameroon (1982-)",,"State forces","Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group","State forces-Rebel group",,120,"Middle Africa",Cameroon,Sud-Ouest,Manyu,Akwaya,Akwaya,6.3813,9.5108,2,"Local Network",Other,"On 1 January 2025, military forces clashed with the Ambazonian Separatists from the Restoration Forces faction at Anzuweh, coded to Akwaya (Akwaya, Manyu, Sud-Ouest). One operative was killed and another three got injured.",1,,1765923135
CAO20714,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group","Military Forces of Cameroon (1982-)",,"State forces","State forces-Rebel group",,120,"Middle Africa",Cameroon,Sud-Ouest,Fako,Muyuka,Muyuka,4.2898,9.4103,2,"Local Network",Other,"On 1 January 2025, Ambazonian Separatists from the Restoration Forces faction detonated an IED in which five soldiers were killed and several others got injured at Mile 29, coded to Muyuka (Muyuka, Fako, Sud-Ouest).",5,,1765923135
CAO20715,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)","Women (Cameroon)",Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Bui,Kumbo,Shishong,6.1834,10.6949,1,"Local Network",Other,"On 1 January 2025, Ambazonian Separatists physically assaulted one female civilian and looted money from her at Shisong/Shishong (Kumbo, Bui, Nord-Ouest) accusing her of collaborating with military forces. No information on injuries.",0,,1765923135
CAO20716,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)","Identity militia","Military Forces of Cameroon (1982-)","Bakinjaw Communal Militia (Cameroon)","State forces","State forces-Identity militia",,120,"Middle Africa",Cameroon,Sud-Ouest,Manyu,Akwaya,Bakinjaw,6.5213,9.6256,1,"Local Network",Other,"On 1 January 2025, armed Fulani headsmen from Nigeria clashed with military forces and local residents at Bakinjaw (Akwaya, Manyu, Sud-Ouest) after the group crossed into Cameroon and injured 25 civilians. 23 headsmen were killed and others injured.",23,,1765923135
CAO20717,2025-01-01,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Ambazonian Separatists (Cameroon)","Ambazonian Separatists (Cameroon) Restoration Forces","Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Sud-Ouest,Meme,Mbonge,Mabonji,4.5439,9.1538,2,"Local Network",Other,"On 1 January 2025, Ambazonian Separatists from the Restoration Forces faction abducted six persons at Ekombe Bonji, coded to Mabonji (Mbonge, Meme, Sud-Ouest). The victims were later released after getting their phones looted and paying 500, 000 Franc CFA.",0,,1765923135
CAO20718,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Fulani Ethnic Militia (Cameroon)","Pastoralists (Cameroon)","Identity militia","Civilians (Cameroon)","Teachers (Cameroon); Women (Cameroon)",Civilians,"Identity militia-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Donga-Mantung,Ndu,Kakar,6.3864,10.8012,1,"Local Network",Other,"On 1 January 2025, suspected Fulani militiamen physically assaulted one female teacher and looted money and valuables from her at Kakar (Ndu, Donga-Mantung, Nord-Ouest).",0,,1776726696
