DHSCLUST,Aridity_2015,Rainfall_2015,Malaria_Prevalence_2015,Enhanced_Vegetation_Index_2015,Nightlights_Composite,Travel_Times_2015,Proximity_to_Water,All_Population_Count_2015,Slope,Drought_Episodes,Growing_Season_Length
1,11.652567863464355,797,0.1919313371181488,2285,0.14885075887044272,46.285714285714285,132110.10416666666,332.19873046875,0.16553143092564174,2,5
2,36.98813247680664,1329.8,0.33688706159591675,4613.444444444444,0,126.514745308311,242161.58974358975,2613.1865234375,0.09297967660203375,1,4
3,35.85752868652344,1297,0.3167681097984314,3371,0.11110309968914904,45.875,43561.90178571428,118.07286834716795,1.1824239492416382,-9999,4
5,35.7159423828125,1181,0.1604199260473251,2429,16.233274366034838,0,63668.46153846154,243690.40625,0.61855316162109375,-9999,-807
7,38.029998779296875,1621.3,0.312897095313439,3779,0.00366078325220056,26.31607629427793,22260.09003215434,19155.783203125,1.1719445168809606,1,5
8,42.5,2016,0.03336325287818909,4039,2.1290850146063445,0,197133.67857142855,13475.48828125,2.6716455732073103,2,-807
10,11.610509872436523,1102.8,0.25741344690322876,2690.6666666666665,0.05787998680435394,20.43699731903485,131977.32484076434,91183.8046875,3.623302469943867,2,4
11,50.90056610107422,1815,0.2584601640701294,2353,0.4008956119931978,29.866666666666667,6431.0703125,3020.30517578125,0.19332865079243977,-9999,-807
12,58.0782585144043,2524,0.1217355951666832,2224,8.984165586274246,2.230769230769231,1330.4959309895833,28565.5625,0,2,-807
13,41.514286041259766,1386,0.2392454445362091,4032,1.9615779999763736,0,132860.07692307694,89641.1796875,0.6473546709333148,-9999,6
14,11.610509872436523,1129.5,0.19781732559204104,2753.9166666666665,2.063746734332e-4,71.45092838196287,125712.56230031948,58764.5703125,3.721395396427387,2,4
15,36.262996673583984,1260.2,0.40759506821632385,4617.9,0.09749712707395054,180.20765027322403,174851.1054313099,3849.981201171875,0.2500455262231045,-9999,6
17,58.0782585144043,2160,0.11841913312673567,2957,5.436370849609375,2.7857142857142856,3040.0947265625,7191.736328125,0,2,-807
18,8.035714149475098,586,0.1090715155005455,1743,0.9350212360250538,9.928571428571429,92451.26923076923,61126.51171875,0.0541486314364842,2,-807
19,-9999,1653.3,0.2328002793448312,3809.5,0.01036103480396516,43.733695652173914,10378.045382165605,3593.560546875,0.2342708848927119,2,5
20,35.7159423828125,1331,0.2271263897418976,4442,1.5443285533360072,0.7692307692307693,90488.375,1135.650634765625,1.585236329298753,-9999,-807
21,42.5,1732.3,0.05449626967310905,3747.2,0.04588577002085271,10.592493297587133,170011.97444089456,174376.3125,2.1620228130759886,2,4
22,59.2621955871582,2395,0.11753080040216446,3840,2.2320180093088458,0.14285714285714285,53594.52840909091,104627.34375,1.2675658634730749,2,-807
24,59.2621955871582,2395,0.08812224864959717,3840,2.5374321371822033,0.13333333333333333,52833.41346153846,98199.234375,1.2737935384114585,2,-807
26,35.7159423828125,1282.7272727272727,0.29844174018272984,3903.8333333333335,2.8909620202105977,8.387533875338754,71881.53015873017,771283.25,0.6246557054803946,-9999,-807
27,37.04154968261719,1511.3333333333333,0.3578144073486328,4256.222222222223,0,147.5994623655914,211106.025477707,2770.63525390625,0.30670713609264744,1,6
28,36.56145095825195,1240,0.23917677998542783,4180,1.6962855021158854,1.2857142857142858,207905.57142857145,29105.31640625,0.2868708201817104,1,-807
29,42.581581115722656,2027,0.07281019538640976,3486,0.04769044497917438,18.1875,209568.84615384616,12407.79296875,2.5179243087768555,2,3
30,38.39949035644531,1965.2222222222224,0.2604067921638489,4118.2,0,79.66397849462365,159206.88607594935,44535.203125,3.238300282468078,2,3
31,35.7159423828125,1269,0.1604199260473251,2737,10.066312662760415,0,65694.25961538461,145155.15625,0.4995675427573068,-9999,-807
32,58.0782585144043,2284,0.1334429830312729,4020,1.864807646153337,4,9362.733173076924,23358.33203125,0,2,-807
33,35.12753677368164,1272.5,0.4066912333170573,4836.7,0.00122658411661783,55.55737704918032,102625.82965299684,5405.7666015625,0.823396443017845,-9999,-801
34,37.324806213378906,1659.1,0.32911189397176105,3445.6,0.01659298072164533,145.96486486486486,100373.60252365933,8075.54248046875,0.3795949575063345,2,5
35,12.522293090820313,985.1666666666666,0.17310306004115514,2299.8333333333335,0.00340876116800467,57.73209549071618,98712.089456869,39833.328125,2.4037001227826593,2,4
37,39.31829452514648,1528.0833333333333,0.32981885274251305,3692.8,0,41.682065217391305,98774.54662379422,5622.8291015625,0.08924509131390115,1,5
38,42.5,1956,0.08396771748860678,3725.3,0.00687409288362376,22.13978494623656,198350.03154574137,74305.6171875,1.326688704952117,2,-997
40,35.85752868652344,1291,0.25757589340209963,4425,0.00672954087005739,86.5,33520.556962025315,9371.494140625,0.8314218057168496,-9999,5
41,34.43783950805664,1493,0.4328494389851888,4593.2,0,172.8773841961853,81658.24050632911,2263.2900390625,0.34285280814937413,-9999,-801
43,42.581581115722656,1945.2,0.06327324254172188,3855.5,0.00143811702728271,38.44235924932976,218549.6050955414,74763.671875,5.45484478416136,2,3
44,11.393665313720703,907,0.12903693318367004,2368,0.32930390040079754,5.9375,112738.04807692308,592.9739990234375,4.471226215362549,2,-807
45,38.39949035644531,1940.5555555555557,0.29020649194717407,4163.4,0,94.17886178861788,146231.71704180064,13665.2421875,4.08667190675813,2,3
46,13.223880767822266,936.6,0.16247287392616272,2680.5555555555557,4.231147542845e-4,51.03191489361702,41796.92063492064,20879.74609375,2.7553996633976063,2,4
47,47.402366638183594,1550.111111111111,0.082679383456707,4019.8888888888887,0.01961728573812674,46.41530054644809,132351.5884244373,72385.8984375,3.159699320141735,2,3
48,12.078824996948242,871,0.20593178272247312,2122.6,0.02611621614283941,35.770270270270274,100381.24921135648,215109.84375,0.2726127830711571,2,5
49,15.235610961914063,910,0.20735257863998413,2289,1.7285420735677084,1.5,79578.60416666667,37443.2578125,0.4681566102164133,2,-807
50,57.6485710144043,2643,0.0799097865819931,2810,8.02919963254767,0,3056.7013221153848,98743.6875,0,2,-807
51,35.7159423828125,1261,0.16009853780269623,2832,7.185776283001077,0.3125,62462.48557692308,9359.322265625,0.7861628532409668,-9999,-807
52,35.7159423828125,1181,0.13904230296611786,2429,30.10043785220287,0,61455.25961538462,289486.3125,0.6040646008082798,-9999,-807
53,58.0782585144043,2587,0.10201852023601532,-9999,23.93065371755826,0,1284.6619318181818,162725.734375,0,2,-807
54,58.0782585144043,2417,0.10368698835372923,3142,5.05447839807581,1.3076923076923077,861.3463541666666,173592.65625,0,2,-9999
55,38.24444580078125,1300.2,0.40493753978184294,4728.3,0.02026593766024834,62.0188679245283,34420.17721518988,29384.22265625,0.7653927044727089,-9999,-801
56,15.235610961914063,910,0.17260584235191345,2289,5.481726694915254,0.3125,83095.33928571429,97750.8828125,0.8095976114273071,2,-807
58,35.7159423828125,1243,0.16009853780269623,2832,9.735366295123924,0.06666666666666667,64347.64903846154,54644.51171875,0.5323628425598145,-9999,-807
59,18.758621215820313,840,0.3498005549112956,2832.4,0.00480402460034261,36.44173441734417,99263.2564102564,14664.1513671875,0.17670930691850864,2,5
60,62.77460479736328,1925,0.1705780327320099,4447,1.4576548258463542,3.2,3267.4353966346152,48101.28125,2.451318868001302,2,-807
61,36.56145095825195,1240,0.23917677998542783,4180,1.3234935559724506,1.6875,208422.31818181815,23537.376953125,0.2799183428287506,1,-807
62,47.402366638183594,1677,0.06610717943736485,3804.4,0.02553053941771882,12.497267759562842,159558.49056603774,192696.96875,1.5286389960617317,2,4
63,42.5,2043,0.04430526122450828,3669,2.1660947297748767,0,200426.4090909091,56023.7109375,2.2497119903564453,2,-807
64,37.98904037475586,1434.7777777777778,0.3322474797566732,4373.1,0.03195814723553865,673.9919786096257,228019.06329113923,3693.95556640625,0.40594082592642883,1,-809
65,35.7159423828125,1181,0.13904230296611786,3088,31.639982096354167,0,60339.072916666664,281926.9375,0.6284059797014508,-9999,-807
66,62.77460479736328,1925,0.1721256971359253,4447,1.7530249902757549,4.071428571428571,2377.9765625,37445.49609375,1.727433681488037,2,-807
67,40.27055740356445,1918,0.09945366531610488,3106,0.8980968080717942,0.07142857142857142,165791.0625,1587.534912109375,2.87201418195452,2,-807
68,13.736089706420898,882.4,0.17234142010028547,2512.6,0.05285432034690908,23.952,141010.3151125402,129227.796875,0.11889650472005207,2,5
69,58.0782585144043,2055.3,0.24309509141104563,4433.9,0.00663422087385011,59.36729222520107,30568.608974358973,8617.92578125,0.44498777006011225,2,5
70,59.2621955871582,2395,0.08812224864959717,3840,2.9268946154364226,0,53828.364583333336,162013.03125,1.1895478963851929,2,-807
71,51.96783447265625,1724.9,0.06925627163478307,4275.272727272727,0.05121714308524987,13.25,145905.32907348243,220402.0625,3.640593155570652,2,3
72,35.7159423828125,1257,0.14466910064220428,3088,13.83207259639617,0,58819.52678571428,35173.54296875,0.683720316205706,-9999,-807
73,35.942501068115234,1535.7777777777778,0.26924136706760954,3606.9,0,42.07608695652174,95382.50479233229,329.05230712890625,0.6824475163998811,1,5
74,36.7579460144043,1498,0.1704142987728119,3069,4.1980919673525054,0.375,118289.31730769233,46596.5,0.8594136238098145,1,-807
75,40.63114929199219,1844,0.08446985483169556,3754,0.3993582491014824,0.21428571428571427,149591.75,32126.384765625,1.0195465087890625,2,4
77,62.77460479736328,1787,0.18468214571475983,4330,0.561150785352363,5.5,8077.867897727273,2277.9765625,2.989915575299944,2,-801
78,47.402366638183594,1746.6363636363635,0.08241363366444905,4269.333333333333,0.06248999126886917,40.69945355191257,127224.07667731628,141641.03125,4.247479214694331,2,3
79,37.95486831665039,1449.1,0.29255104064941406,3300.7,0.00165138292794275,50.54032258064516,132784.9358974359,1008.2794799804688,0.7339894284484207,1,5
80,36.47013092041016,1909.8181818181815,0.3001224398612976,4380.583333333333,0,63.88709677419355,139717.80191693292,24793.490234375,1.3742734847530242,2,4
