region_adm,cle_adm,milieu_lb,n_individus,tx_pauvrete_pond
Centre,centre,Urbain,946,8.685850808377078
Littoral,littoral,Urbain,918,10.45482649547798
adamaoua,adamaoua,Rural,635,57.054343833813235
adamaoua,adamaoua,Urbain,166,37.87171872846844
centre,centre,Rural,475,60.88523177145112
centre,centre,Urbain,49,38.82271212316014
est,est,Rural,490,7.01299123200328
est,est,Urbain,219,8.538092284057036
extrême-nord,extremenord,Rural,1361,83.7564608702329
extrême-nord,extremenord,Urbain,226,40.23739531052757
littoral,littoral,Rural,344,23.90921531530524
littoral,littoral,Urbain,252,16.070602922483847
nord,nord,Rural,885,75.3909565745942
nord,nord,Urbain,251,20.069258623876944
nord-ouest,nordouest,Rural,419,77.94672192922985
nord-ouest,nordouest,Urbain,113,21.16761934877139
ouest,ouest,Rural,532,36.477125318532295
ouest,ouest,Urbain,211,18.17675475982511
sud,sud,Rural,325,19.19266069940293
sud,sud,Urbain,161,18.30103684468426
sud-ouest,sudouest,Rural,224,38.016811292493855
sud-ouest,sudouest,Urbain,270,20.569355990807846
