NAME_1,pop_officielle_2025,femmes_2025,hommes_2025,ratio_fh,part_moins_15_pct,part_65_plus_pct
Extrême-Nord,5499116,2768123,2730993,1.014,48.9,2.3
Centre,5487640,2751647,2735993,1.006,33.7,3.8
Littoral,4498867,2246136,2252731,0.997,30.8,4.3
Nord,3485916,1775848,1710068,1.038,45.3,2.3
Nord-Ouest,2428174,1291174,1137000,1.136,38.6,3.5
Ouest,2232838,1208515,1024323,1.18,49.1,3.4
Sud-Ouest,2098489,1053594,1044895,1.008,34.1,3.3
Adamaoua,1541773,796794,744979,1.07,42.5,2.6
Est,1283771,644466,639305,1.008,38.2,3.3
Sud,885734,431150,454584,0.948,36,4.4
