NAME_1,annee,n_evenements,n_deces
Adamaoua,2020,5,2
Adamaoua,2021,2,1
Adamaoua,2022,7,12
Adamaoua,2023,9,4
Adamaoua,2024,4,0
Adamaoua,2025,15,3
Centre,2020,62,7
Centre,2021,42,23
Centre,2022,40,7
Centre,2023,41,18
Centre,2024,20,7
Centre,2025,22,7
Est,2020,5,1
Est,2021,4,0
Est,2022,3,2
Est,2023,6,1
Est,2024,2,1
Est,2025,3,5
Extrême-Nord,2020,544,592
Extrême-Nord,2021,414,469
Extrême-Nord,2022,532,426
Extrême-Nord,2023,999,624
Extrême-Nord,2024,1666,954
Extrême-Nord,2025,1239,591
Littoral,2020,50,13
Littoral,2021,37,7
Littoral,2022,55,18
Littoral,2023,40,23
Littoral,2024,16,4
Littoral,2025,28,33
Nord,2020,5,0
Nord,2021,5,4
Nord,2022,12,5
Nord,2023,18,15
Nord,2024,37,17
Nord,2025,35,15
Nord-Ouest,2020,491,650
Nord-Ouest,2021,587,691
Nord-Ouest,2022,962,775
Nord-Ouest,2023,1580,765
Nord-Ouest,2024,1678,572
Nord-Ouest,2025,2730,579
Ouest,2020,33,38
Ouest,2021,36,34
Ouest,2022,39,25
Ouest,2023,43,30
Ouest,2024,11,8
Ouest,2025,9,9
Sud,2020,6,0
Sud,2021,16,0
Sud,2022,3,0
Sud,2023,2,0
Sud,2024,5,0
Sud,2025,3,1
Sud-Ouest,2020,330,459
Sud-Ouest,2021,355,342
Sud-Ouest,2022,534,365
Sud-Ouest,2023,1041,704
Sud-Ouest,2024,1184,871
Sud-Ouest,2025,1271,727
