osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
419588091,Centre Médico Social français,hospital,NA,NA,NA,11.51758,3.85701,Hopital
501477139,Mijuwana Health Clinic,hospital,NA,NA,NA,12.0556,10.09464,Hopital
501493061,Ndufu MCH Clinic,hospital,NA,NA,NA,14.27956,12.22439,Hopital
501526318,Kofin,hospital,NA,NA,NA,13.09834,10.55337,Hopital
967892138,Pharmacie Bell,pharmacy,NA,NA,NA,9.69413,4.0359,Pharmacie
976652143,Rawado Philantropic Rural Hospital,hospital,NA,NA,NA,10.53557,5.88939,Hopital
1013434376,Central Medical de Nkol Poblo,hospital,NA,NA,NA,11.20972,4.07652,Hopital
1049493788,OSM_1049493788,pharmacy,NA,NA,NA,13.67832,9.49201,Pharmacie
1049493897,Centre de Sante Integre de Babanguel I,hospital,NA,NA,NA,13.71242,9.60407,Hopital
1050198424,Centre de Sante integre de langui Social,hospital,NA,NA,NA,13.60238,9.33416,Hopital
1067272364,Centre de sante et formation Ave Maria de Leboudi I,doctors,NA,NA,NA,11.44582,3.92147,Centre/Clinique
1067289748,Centre de Sante Integre de Ntuissong,doctors,NA,NA,NA,11.32248,4.01471,Centre/Clinique
1067289899,Pharmacie de l'Hôpital de District d'Okola,pharmacy,NA,NA,NA,11.38281,4.02669,Pharmacie
1067289952,La Morque d'Okola,hospital,NA,NA,NA,11.38276,4.02707,Hopital
1067306173,Hopital district de Pitoa,hospital,NA,NA,NA,13.50786,9.38869,Hopital
1067306203,Guerriseur Traditionnel,hospital,NA,NA,NA,13.50238,9.38219,Hopital
1067306208,OSM_1067306208,pharmacy,NA,NA,NA,13.50196,9.38639,Pharmacie
1067306381,Hopital Moustapha de Pitoa Bounguel,hospital,NA,NA,NA,13.49876,9.38396,Hopital
1068916218,OSM_1068916218,pharmacy,NA,NA,NA,10.437,5.98666,Pharmacie
1069053734,Ndop District Hospital,hospital,NA,NA,NA,10.44468,6.00087,Hopital
1069081719,Bamunka Rural Health Centre,hospital,NA,NA,NA,10.48754,5.97417,Hopital
1069146913,Faith pharmacy,pharmacy,NA,NA,NA,10.43466,5.98748,Pharmacie
1069146931,Bamunka Health Centre,hospital,NA,NA,NA,10.4327,5.98564,Hopital
1069147032,OSM_1069147032,pharmacy,NA,NA,NA,10.44149,5.99629,Pharmacie
1217636098,Pharmacie Joss,pharmacy,NA,NA,NA,9.68705,4.04214,Pharmacie
1397526669,Centre medical secadev,doctors,NA,NA,NA,15.05533,12.10658,Centre/Clinique
1849281871,Hopital de Batouri,yes,NA,NA,NA,14.37266,4.44854,Centre/Clinique
1987382968,Pharmacie Olezoa,pharmacy,NA,NA,NA,11.51481,3.8465,Pharmacie
1993222656,Pharmacie du Centre,pharmacy,NA,NA,NA,11.51795,3.87101,Pharmacie
2017553690,SWEET LIFE,pharmacy,NA,NA,NA,11.4933,3.85038,Pharmacie
2018349391,Pharmacie de Nkomo,pharmacy,NA,NA,NA,11.55022,3.84166,Pharmacie
2033098470,Pharmacie Tsinga,pharmacy,NA,NA,NA,11.50277,3.88188,Pharmacie
2033671113,Mami Macta,pharmacy,NA,NA,NA,11.53462,3.87129,Pharmacie
2033780266,Pharmacy de l'Université,pharmacy,NA,NA,NA,11.50457,3.85948,Pharmacie
2033791377,Pharmacie de la Moisson,pharmacy,NA,NA,NA,11.52117,3.86044,Pharmacie
2034139428,Pharmacie Mvog-Atangana Mballa,pharmacy,NA,NA,NA,11.51929,3.84885,Pharmacie
2040363224,Pharmacie de l'Aéroport,pharmacy,NA,NA,NA,11.51671,3.82537,Pharmacie
2044656924,Pharmacie Moto George,pharmacy,NA,NA,NA,11.51799,3.88926,Pharmacie
2150257170,OSM_2150257170,hospital,NA,NA,NA,16.07815,8.55649,Hopital
2154302291,Centre de santé de Mefindi,clinic,NA,NA,NA,11.97913,3.53558,Centre/Clinique
2163440851,Maternity,clinic,NA,NA,NA,9.30281,4.14173,Centre/Clinique
2263245273,Cabinet de soins CINSOL,doctor,NA,NA,NA,11.48589,3.8324,Centre/Clinique
2274142847,Ndu Hospital,hospital,NA,NA,NA,10.80463,6.42587,Hopital
2276045788,Pharmacie Isis,pharmacy,NA,NA,NA,11.54832,3.86425,Pharmacie
2276189766,La Référence de Ngousso,pharmacy,NA,Yaoundé,NA,11.54917,3.89434,Pharmacie
2276189774,Pharmacie du Stade,pharmacy,NA,NA,NA,11.54524,3.88912,Pharmacie
2278895824,OSM_2278895824,pharmacy,NA,NA,NA,11.49891,3.85286,Pharmacie
2284209683,Camp Yeyap 2,hospital,hopital militaire,Yaoundé II,NA,11.50289,3.86984,Hopital
2318362169,Pharmacie du centre,pharmacy,NA,NA,NA,13.39513,9.30646,Pharmacie
2344205652,Hôpital de Tchomso,hospital,NA,NA,NA,10.31389,5.30718,Hopital
2352021450,Pharmacie de Djamboutou,pharmacy,NA,NA,NA,13.39676,9.30423,Pharmacie
2352021451,Pharmacie de Garoua,pharmacy,NA,NA,NA,13.39647,9.30726,Pharmacie
2353391716,Pharmacie Populaire,pharmacy,NA,NA,NA,13.40437,9.31684,Pharmacie
2353471794,Pharmacie de l'Amitié,pharmacy,NA,NA,NA,13.39649,9.30305,Pharmacie
2353500536,Pharmacie de l'Etoile,pharmacy,NA,NA,NA,13.38896,9.29665,Pharmacie
2420372476,PS de Boyali Yaho,hospital,NA,Boyali Yaho,NA,16.1934,6.02122,Hopital
2420714750,Centre de Santé de Ngoutere,doctors,NA,Ngoutere,NA,15.89862,6.77263,Centre/Clinique
2420714751,PS Herba,hospital,NA,Herba,NA,15.99362,6.68962,Hopital
2421395599,Poste de Santé de Mboko-Tatali,doctors,NA,Mboko-Tatali,NA,16.0591,6.54673,Centre/Clinique
2456192020,Catholic Health Center,doctors,NA,NA,NA,9.2285,4.05594,Centre/Clinique
2456192090,Moliwe Health Area,hospital,NA,NA,NA,9.22785,4.05722,Hopital
2456192101,Open Door Medical Clinic,clinic,NA,NA,NA,9.11329,4.0171,Centre/Clinique
2456192135,Saint Luke Medical Foundation,clinic,NA,NA,NA,9.20981,4.02272,Centre/Clinique
2521654761,Clinique La Life,hospital,NA,NA,NA,10.38976,5.17836,Hopital
2554016955,LA Med Pharmacy,pharmacy,NA,NA,NA,8.87839,9.89024,Pharmacie
2569506791,Presbyterian Health Services,hospital,NA,NA,NA,9.39694,5.21926,Hopital
2589437005,Centre de Santé Tedoa,doctors,NA,Institut Doaka,NA,15.72319,5.89565,Centre/Clinique
2589437006,Centre de Santé de Kpocte,doctors,NA,Kpocte,NA,15.6879,5.91919,Centre/Clinique
2589437007,Centre de Santé de Ndongue,doctors,NA,Ndongue,NA,15.5971,5.62731,Centre/Clinique
2589437008,Centre de Santé de Wantiguere,doctors,NA,Wantiguere,NA,15.64609,5.9347,Centre/Clinique
2589437009,Enfant Jésus Yole,hospital,NA,Yole,NA,15.52599,5.95854,Hopital
2589437011,Poste de Santé de Zotoua,doctors,NA,Zotoua,NA,15.6163,5.73186,Centre/Clinique
2590840276,Centre de Santé Privé EEB,doctors,NA,Baoro,NA,15.94325,5.69782,Centre/Clinique
2590840279,PS Koursou,hospital,NA,Koursou,NA,15.8657,5.83061,Hopital
2611524329,Centre de santé de 15ans,hospital,NA,NA,NA,16.08302,8.58414,Hopital
2613381554,Dar Silla,pharmacy,NA,NA,NA,15.0772,12.13363,Pharmacie
2613381731,OSM_2613381731,pharmacy,NA,NA,NA,15.07705,12.13401,Pharmacie
2656221625,Dépôt Pharmaceutique,pharmacy,NA,NA,NA,15.05047,12.13306,Pharmacie
2659652582,Poste de Santé Danko Bira,doctors,NA,Danko Bira,NA,15.4055,6.62949,Centre/Clinique
2659976340,Centre de Santé privé EEB de Bania,doctors,NA,Bania,NA,16.109,4.00003,Centre/Clinique
2661637074,Hôpital Préfectoral de Carnot,hospital,NA,Carnot,NA,15.87675,4.93629,Hopital
2661637075,Poste de Santé Arche de Noé,doctors,NA,Carnot,NA,15.87165,4.94858,Centre/Clinique
2661864692,Poste de Santé Saint Charles Lwanga (inactive),doctors,NA,Sosso-Nakombo,NA,15.50072,3.92261,Centre/Clinique
2661965355,Poste de Santé de Gamboula,doctor,NA,Gamboula,NA,15.13847,4.12044,Centre/Clinique
2663468486,Centre de Santé de Baboua,doctors,NA,Baboua,NA,14.8239,5.78801,Centre/Clinique
2663468488,Centre de Santé du peuple,doctors,NA,Baboua,NA,14.8434,5.80315,Centre/Clinique
2663468489,Poste de Santé communautaire de Fambe,doctors,NA,Fambele,NA,15.07403,5.78679,Centre/Clinique
2663509116,Centre de Santé Emmanuel,doctors,NA,Gallo,NA,15.16355,5.79643,Centre/Clinique
2663521072,Centre de Santé de Bera-Boyere,doctors,NA,Bera-Boyere,NA,14.7912,5.58618,Centre/Clinique
2663521073,Poste de Santé de Abo-Boguirma,doctors,NA,Abo-Boguirma,NA,14.9417,5.48242,Centre/Clinique
2663959781,Centre de Santé de Sagani,doctors,NA,Sagani,NA,14.8625,5.18692,Centre/Clinique
2664306362,Centre de Santé EEB d'Amada-Gaza,doctor,NA,Amada-Gaza,NA,15.18986,4.7739,Centre/Clinique
2665791714,Centre de Santé Mbotoga,doctors,NA,Mbotoga,NA,15.5591,6.64903,Centre/Clinique
2665791720,Centre de Santé de Bohong,doctors,NA,Bohong,NA,15.64473,6.48739,Centre/Clinique
2665791729,Poste de Santé Forte,doctors,NA,Forte,NA,15.61554,6.37635,Centre/Clinique
2665791731,Poste de Santé Maikolo,doctors,NA,Maikolo,NA,15.7954,6.52475,Centre/Clinique
2665811211,Centre Bocaranga,doctors,NA,Bocaranga,NA,15.63964,6.98516,Centre/Clinique
2665815209,Bomari 2,hospital,NA,Bomari 2,NA,15.54042,6.80822,Hopital
2665815214,Poste de Santé Bogang 1,doctors,NA,Sanguere-Pende,NA,15.5352,6.7308,Centre/Clinique
2665815216,Poste de Santé Boukayan,doctors,NA,Bokayan,NA,15.55303,6.87761,Centre/Clinique
