cluster_id,menage_id,ligne,lien_chef,residence,dormi_nuit,sexe,age,niveau_educ,annees_ecole,scolarise,quintile
1,117,1,head,yes,yes,male,71,"no education, preschool",0,no,poorer
1,117,2,wife or husband,yes,yes,female,66,"no education, preschool",0,no,poorer
1,125,1,head,yes,yes,male,47,"no education, preschool",0,no,poorer
1,125,2,wife or husband,yes,yes,female,32,secondary,9,no,poorer
1,125,3,son/daughter,yes,yes,female,19,"no education, preschool",0,no,poorer
1,125,4,son/daughter,yes,yes,male,12,primary,6,attended at some time,poorer
1,125,5,son/daughter,yes,yes,male,7,primary,1,attended at some time,poorer
1,125,6,son/daughter,yes,yes,male,1,"no education, preschool",0,no,poorer
1,125,7,other relative,yes,yes,female,1,"no education, preschool",0,no,poorer
1,147,1,head,yes,yes,male,38,secondary,9,no,richer
1,147,2,wife or husband,yes,yes,female,22,secondary,10,no,richer
1,147,3,son/daughter,yes,yes,female,16,primary,6,attended at some time,richer
1,147,4,son/daughter,yes,yes,female,14,primary,5,attended at some time,richer
1,147,5,son/daughter,yes,yes,female,12,primary,3,attended at some time,richer
1,147,6,son/daughter,yes,yes,female,2,"no education, preschool",0,no,richer
1,147,7,other relative,no,yes,male,17,secondary,9,attended at some time,richer
1,191,1,head,yes,yes,male,30,"no education, preschool",0,no,middle
1,191,2,wife or husband,yes,yes,female,17,"no education, preschool",0,no,middle
1,191,3,wife or husband,yes,yes,female,20,primary,1,no,middle
1,198,1,head,yes,yes,female,26,primary,6,no,middle
1,198,2,son/daughter,yes,yes,male,11,primary,5,attended at some time,middle
1,198,3,son/daughter,yes,yes,male,9,primary,4,attended at some time,middle
1,198,4,son/daughter,yes,yes,female,6,primary,1,attended at some time,middle
1,198,5,son/daughter,yes,yes,female,4,"no education, preschool",0,no,middle
1,198,6,adopted/foster child,yes,yes,female,13,primary,6,attended at some time,middle
1,252,1,head,yes,yes,male,51,secondary,9,no,middle
1,252,2,wife or husband,yes,yes,female,37,"no education, preschool",0,no,middle
1,252,3,son/daughter,yes,yes,male,17,secondary,7,attended at some time,middle
1,252,4,son/daughter,yes,yes,female,13,primary,5,attended at some time,middle
1,252,5,son/daughter,yes,yes,female,11,primary,3,attended at some time,middle
1,252,6,son/daughter,yes,yes,female,8,primary,1,attended at some time,middle
1,252,7,son/daughter,yes,yes,female,6,"no education, preschool",0,no,middle
1,252,8,son/daughter,yes,yes,female,3,"no education, preschool",0,no,middle
1,252,9,son/daughter,yes,yes,male,0,"no education, preschool",0,no,middle
1,309,1,head,yes,no,male,76,"no education, preschool",0,no,middle
1,309,2,wife or husband,yes,yes,female,57,"no education, preschool",0,no,middle
1,309,3,grandchild,yes,yes,female,10,"no education, preschool",0,no,middle
1,309,4,grandchild,yes,yes,female,4,"no education, preschool",0,no,middle
1,310,1,head,yes,yes,male,50,primary,5,no,poorer
1,310,2,wife or husband,yes,no,female,40,"no education, preschool",0,no,poorer
1,310,3,son/daughter,yes,yes,female,15,primary,6,no,poorer
1,310,4,son/daughter,yes,yes,female,13,primary,5,attended at some time,poorer
1,310,5,son/daughter,yes,no,male,10,primary,3,attended at some time,poorer
1,310,6,son/daughter,yes,yes,female,7,primary,0,attended at some time,poorer
1,310,7,grandchild,yes,yes,male,0,"no education, preschool",0,no,poorer
1,321,1,head,yes,yes,male,66,primary,4,no,middle
1,334,1,head,yes,yes,male,45,secondary,8,no,poorer
1,334,2,wife or husband,yes,yes,female,36,primary,5,no,poorer
1,334,3,son/daughter,yes,yes,male,9,primary,1,attended at some time,poorer
1,334,4,son/daughter,yes,yes,male,7,primary,1,attended at some time,poorer
1,334,5,son/daughter,yes,yes,female,5,"no education, preschool",0,no,poorer
1,334,6,son/daughter,yes,yes,female,1,"no education, preschool",0,no,poorer
1,341,1,head,yes,yes,male,60,"no education, preschool",0,no,poorer
1,341,2,wife or husband,yes,yes,female,47,"no education, preschool",0,no,poorer
1,341,3,son/daughter,yes,yes,male,19,primary,3,no,poorer
1,341,4,son/daughter,yes,yes,male,18,primary,4,no,poorer
1,341,5,son/daughter,yes,yes,male,11,primary,5,attended at some time,poorer
1,341,6,wife or husband,yes,yes,female,37,primary,2,no,poorer
1,341,7,other relative,yes,yes,female,12,primary,5,attended at some time,poorer
1,345,1,head,yes,yes,female,63,"no education, preschool",0,no,middle
1,345,2,grandchild,no,yes,male,21,secondary,11,attended at some time,middle
1,345,3,grandchild,no,yes,male,8,primary,2,attended at some time,middle
1,345,4,grandchild,no,yes,female,2,"no education, preschool",0,no,middle
1,365,1,head,yes,yes,female,62,"no education, preschool",0,no,middle
1,365,2,grandchild,yes,yes,female,5,primary,1,attended at some time,middle
1,374,1,head,yes,yes,male,20,secondary,8,attended at some time,middle
1,374,2,not related,yes,yes,male,15,secondary,7,attended at some time,middle
1,374,3,not related,yes,yes,male,13,secondary,7,attended at some time,middle
1,436,1,head,yes,yes,female,51,"no education, preschool",0,no,middle
1,436,2,grandchild,yes,yes,male,10,primary,6,attended at some time,middle
1,436,3,grandchild,yes,yes,female,7,primary,3,attended at some time,middle
1,436,4,grandchild,yes,yes,female,5,"no education, preschool",0,no,middle
1,562,1,head,yes,yes,male,46,primary,6,no,middle
1,562,2,wife or husband,yes,yes,female,41,primary,5,no,middle
1,562,3,son/daughter,yes,yes,male,21,primary,1,no,middle
1,562,4,son/daughter,yes,yes,male,20,secondary,8,attended at some time,middle
1,562,5,son/daughter,yes,yes,male,14,secondary,8,attended at some time,middle
1,562,6,not related,yes,yes,female,25,primary,5,no,middle
1,562,7,not related,yes,yes,male,23,primary,3,no,middle
1,803,1,head,yes,yes,male,27,secondary,8,no,middle
1,803,2,wife or husband,yes,yes,female,18,primary,6,no,middle
1,819,1,head,yes,yes,female,41,primary,4,no,middle
1,819,2,son/daughter,yes,yes,female,14,primary,6,attended at some time,middle
1,819,3,son/daughter,yes,yes,female,12,primary,2,attended at some time,middle
1,819,4,son/daughter,yes,yes,male,4,"no education, preschool",0,no,middle
1,819,5,son/daughter,yes,yes,female,2,"no education, preschool",0,no,middle
