cluster_id,menage_id,poids_menage,psu,strate,sous_pop,region,milieu,taille_menage,enfants_moins_5,sexe_chef,age_chef,nb_chambres,source_eau,type_toilette,electricite,radio,television,refrigerateur,velo,moto,voiture,quintile,score_richesse
1,117,1003035,1,far north - urban,far north - urban,far-north,urban,2,0,male,71,1,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,poorer,-108889
1,125,1003035,1,far north - urban,far north - urban,far-north,urban,7,2,male,47,2,piped to yard/plot,pit latrine without slab/open pit,no,no,yes,no,yes,yes,no,poorer,-68477
1,147,1003035,1,far north - urban,far north - urban,far-north,urban,7,1,male,38,3,public tap/standpipe,pit latrine with slab,yes,yes,yes,no,yes,yes,no,richer,39541
1,191,1003035,1,far north - urban,far north - urban,far-north,urban,3,0,male,30,3,tube well or borehole,pit latrine with slab,yes,no,no,no,no,no,no,middle,-28832
1,198,1003035,1,far north - urban,far north - urban,far-north,urban,6,1,female,26,1,public tap/standpipe,pit latrine with slab,yes,yes,yes,no,no,yes,no,middle,-32567
1,252,1003035,1,far north - urban,far north - urban,far-north,urban,9,2,male,51,3,public tap/standpipe,pit latrine without slab/open pit,yes,yes,yes,yes,yes,yes,no,middle,-7468
1,309,1003035,1,far north - urban,far north - urban,far-north,urban,4,1,male,76,2,public tap/standpipe,pit latrine without slab/open pit,yes,no,no,no,no,no,no,middle,-14677
1,310,1003035,1,far north - urban,far north - urban,far-north,urban,7,1,male,50,2,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,poorer,-85617
1,321,1003035,1,far north - urban,far north - urban,far-north,urban,1,0,male,66,1,tube well or borehole,pit latrine with slab,yes,yes,no,no,yes,yes,no,middle,-50585
1,334,1003035,1,far north - urban,far north - urban,far-north,urban,6,2,male,45,1,piped to neighbor,no facility/bush/field,no,yes,no,no,yes,no,no,poorer,-82625
1,341,1003035,1,far north - urban,far north - urban,far-north,urban,7,0,male,60,5,tube well or borehole,pit latrine without slab/open pit,yes,no,no,no,yes,no,no,poorer,-68102
1,345,1003035,1,far north - urban,far north - urban,far-north,urban,4,0,female,63,2,piped to yard/plot,pit latrine with slab,yes,no,no,no,yes,no,no,middle,-41752
1,365,1003035,1,far north - urban,far north - urban,far-north,urban,2,1,female,62,1,public tap/standpipe,pit latrine with slab,yes,no,no,no,no,no,no,middle,-5735
1,374,1003035,1,far north - urban,far north - urban,far-north,urban,3,0,male,20,1,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,middle,-59073
1,436,1003035,1,far north - urban,far north - urban,far-north,urban,4,1,female,51,2,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,middle,-62161
1,562,1003035,1,far north - urban,far north - urban,far-north,urban,7,0,male,46,3,tube well or borehole,pit latrine without slab/open pit,yes,yes,no,no,no,yes,no,middle,-20689
1,803,1003035,1,far north - urban,far north - urban,far-north,urban,2,0,male,27,2,public tap/standpipe,pit latrine with slab,yes,yes,yes,no,no,no,no,middle,-10349
1,819,1003035,1,far north - urban,far north - urban,far-north,urban,5,2,female,41,2,piped to neighbor,pit latrine without slab/open pit,no,no,no,no,no,no,no,middle,-56576
1,897,1003035,1,far north - urban,far north - urban,far-north,urban,8,3,female,40,3,public tap/standpipe,pit latrine without slab/open pit,yes,yes,yes,no,no,no,no,middle,-57966
1,955,1003035,1,far north - urban,far north - urban,far-north,urban,2,0,male,50,1,tube well or borehole,pit latrine with slab,yes,yes,yes,yes,yes,yes,yes,richer,41117
1,971,1003035,1,far north - urban,far north - urban,far-north,urban,4,0,female,68,2,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,poorer,-67563
1,1040,1003035,1,far north - urban,far north - urban,far-north,urban,3,1,female,32,1,public tap/standpipe,pit latrine without slab/open pit,no,no,no,no,no,no,no,middle,-59963
1,1052,1003035,1,far north - urban,far north - urban,far-north,urban,3,1,male,25,1,tube well or borehole,pit latrine with slab,yes,yes,no,no,no,yes,no,poorer,-81742
1,1082,1003035,1,far north - urban,far north - urban,far-north,urban,2,1,female,50,1,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,poorer,-78002
1,1103,1003035,1,far north - urban,far north - urban,far-north,urban,9,2,male,45,2,public tap/standpipe,pit latrine without slab/open pit,no,no,no,no,yes,yes,no,poorer,-100605
1,1113,1003035,1,far north - urban,far north - urban,far-north,urban,7,0,male,38,4,tube well or borehole,pit latrine without slab/open pit,no,no,no,no,no,no,no,poorer,-89631
1,1128,1003035,1,far north - urban,far north - urban,far-north,urban,6,3,male,37,2,public tap/standpipe,pit latrine with slab,yes,no,no,no,no,no,no,middle,-8589
1,1204,1003035,1,far north - urban,far north - urban,far-north,urban,7,4,male,28,2,piped to neighbor,pit latrine with slab,no,no,no,no,no,no,no,poorer,-66426
2,16,458943,2,east - rural,east - rural,east,rural,12,2,male,56,5,unprotected spring,pit latrine with slab,no,no,no,no,no,no,no,middle,-56590
