DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
CM201800000001,CMGE71FL,CM,2018.0,1.0,CM2018DHS,257.9557800292969,293.0149230957031,332.19873046875,59.650001525878906,61.81666946411133,71.66666412353516,64.28333282470703,10.780120849609375,11.394777297973633,12.85500717163086,11.652567863464355,0.08196653638567243,0.08585936682564872,0.08902430534362793,38.75363540649414,36.64666748046875,37.130001068115234,37.37727355957031,14.800000190734863,14.458333969116211,14.050000190734863,14.058333396911621,2,1981,2036,2194,2293,2276,2304,2285,0.0,0.0,0.0,0.0,40.0,1731.0255126953125,5,0.0,0.0,0.03910750370413784,0.15619721734117187,29.918182373046875,29.235000610351562,29.699167251586914,29.693635940551758,9.916364397321429,108.33480398995536,-1.0,0.7161167689732143,0.2703805480684553,12.243348257882255,0.22227825224399567,0.24975864589214325,0.2659423053264618,0.2582666873931885,0.15030130743980408,0.18182913959026337,0.1881040632724762,0.1919313371181488,35.16666793823242,35.958335876464844,35.96666717529297,35.474998474121094,27.75,28.700000762939453,28.916667938232422,28.40833282470703,20.366666793823242,21.5,21.91666603088379,21.416667938232422,0.14885075887044272,21.082727432250977,21.823333740234375,22.268333435058594,22.010000228881836,5.5333333015441895,5.425000190734863,5.574999809265137,5.516666889190674,50753.653846153844,29178.21153846154,132110.10416666666,667,577,677,734,733,787,797,0.16553143092564174,2.0,2.0,2.0,31.834999084472656,25.68000030517578,25.433000564575195,27.069000244140625,24.89299964904785,26.39299964904785,28.34000015258789,30.347999572753906,30.424999237060547,27.535999298095703,28.187000274658203,26.444000244140625,55.42857142857143,46.285714285714285,2.623962148030599,2.9862767537434896,3.392145792643229,3.8457651774088544,1515.284912109375,1711.14306640625,1917.875244140625,2133.587646484375,128.0201416015625,144.5673828125,162.03336007254464,180.25798688616072,5.445833206176758,5.662499904632568,6.06416654586792,5.56916618347168
CM201800000002,CMGE71FL,CM,2018.0,2.0,CM2018DHS,2029.1668701171875,2304.9541015625,2613.1865234375,131.31666564941406,116.58333587646484,116.29167175292969,103.875,47.60725021362305,41.51335525512695,41.286983489990234,36.98813247680664,0.0004667968322069217,0.000709102465174137,0.000820209773687216,24.683395385742188,24.36389838324653,24.612423366970486,25.74738226996528,10.199999809265137,10.199999809265137,9.52500057220459,10.183333396911621,1.0,4211.111111111111,4228.444444444444,4261.444444444444,4190.333333333333,4414.777777777777,4591.0,4613.444444444444,0.0,0.0,0.0,0.0,21.750670241286862,1976.4223958333334,4.0,0.0,0.0,0.08512286280990927,0.49818791761250036,21.506900363498264,21.701948377821182,21.938342624240452,22.450912475585938,0.1461748015784706,6.209060300770777,-1.0,1.1034416628267427,0.19238896919639117,0.17123969438568198,0.6180627346038818,0.5800769329071045,0.3617118000984192,0.3496432602405548,0.7369292378425598,0.6622503399848938,0.333869993686676,0.33688706159591675,29.066667556762695,29.40833282470703,29.200000762939453,29.391666412353516,23.950000762939453,24.291667938232422,24.416667938232422,24.283334732055664,18.866666793823242,19.20833396911621,19.67500114440918,19.20833396911621,0.0,18.330403645833332,19.04000006781684,19.264258490668404,19.15444607204861,2.758333444595337,2.808333396911621,2.816666603088379,2.808333396911621,175206.4507936508,52492.170886075946,242161.58974358975,1982.3,1668.7,1656.5,1798.5,1508.6,1682.2,1329.8,0.09297967660203377,0.0,0.0,0.0,24.488332112630207,22.657333374023438,22.937998453776043,24.29766591389974,22.771331787109375,22.600001017252605,23.388999938964844,24.734664916992188,23.82933298746745,23.422999064127605,23.210667928059895,23.203999837239582,213.72117962466487,126.51474530831099,0.7787649735160496,0.8862963137419327,1.006754087365192,1.1413836271866509,1691.336181640625,1793.0916748046875,1886.76171875,1970.548583984375,5.281390724488941,5.599133529867627,5.891629052865282,6.1532627136394105,12.117499351501465,11.65583324432373,11.65250015258789,10.554999351501465
CM201800000003,CMGE71FL,CM,2018.0,3.0,CM2018DHS,91.684814453125,104.14582824707031,118.07286834716797,144.30833435058594,134.5916748046875,136.625,111.15834045410156,47.4438362121582,43.30026626586914,43.373016357421875,35.85752868652344,0.001105939897780235,0.010080969104400048,0.013066383508535532,26.086362838745117,25.220909118652344,24.3700008392334,25.11199951171875,9.658333778381348,9.658333778381348,8.983333587646484,9.641666412353516,-9999,2965.0,2938.0,3038.0,3048.0,3190.0,3399.0,3371.0,0.0,0.0,0.0,0.0,29.625,2471.2470703125,4.0,0.0,0.0,0.07714893872036581,0.35473964817663717,22.833637237548828,22.949621200561523,22.75090980529785,22.715545654296875,0.5070366859436035,1.259387731552124,-1.0,2.756615161895752,1.8807580471038818,0.8982266783714294,0.41383984684944153,0.38490578532218933,0.3631891906261444,0.31121543049812317,0.45646926760673523,0.4136674106121063,0.381690114736557,0.3167681097984314,30.025001525878906,30.375,30.191667556762695,30.34166717529297,25.166667938232422,25.516666412353516,25.666667938232422,25.491666793823242,20.366666793823242,20.71666717529297,21.20833396911621,20.700000762939453,0.11110309968914903,19.580909729003906,20.678333282470703,21.131818771362305,20.319091796875,3.0416667461395264,3.1083333492279053,3.1500000953674316,3.1000001430511475,190082.63636363635,58240.88461538462,43561.90178571428,1563,1539,1380,1460,1523,1564,1297,1.1824239492416382,0.0,0.0,0.0,26.284000396728516,24.04400062561035,25.595001220703125,26.97800064086914,25.79400062561035,24.160999298095703,24.899999618530273,26.899999618530273,25.445999145507812,25.121000289916992,24.85700035095215,24.886999130249023,51.4375,45.875,0.7381968180338542,0.8401265462239583,0.9543093363444011,1.0819255828857421,68.10615539550781,76.25230407714844,84.97702026367188,94.25668334960938,5.856563568115234,6.525975704193115,7.238886833190918,7.993050575256348,13.78833293914795,13.493332862854004,13.47249984741211,12.196666717529297
CM201800000005,CMGE71FL,CM,2018.0,5.0,CM2018DHS,189228.15625,214946.40625,243690.40625,131.80833435058594,115.51667022705078,136.3333282470703,102.68333435058594,47.785499572753906,40.179710388183594,47.4202880859375,35.7159423828125,0.9240171568734306,0.9538830348423549,0.955165045601981,28.600000381469727,27.552000045776367,29.09666633605957,30.79888916015625,9.175000190734863,9.175000190734863,8.5,9.158333778381348,-9999,2375,2354,2378,2433,2479,2434,2429,0.0,0.0,0.0,0.0,78.07142857142857,2392.42236328125,-807,0.0,0.0,0.06143020699891274,0.2569444034418537,23.23318099975586,23.006000518798828,24.00787925720215,25.07111167907715,0.0,0.0,-1.0,0.0,0.0,0.0,0.4615330100059509,0.36482906341552734,0.15783683955669403,0.19353415071964264,0.533884584903717,0.3836233615875244,0.10948163270950317,0.16041992604732513,28.700000762939453,29.0,28.80000114440918,29.016666412353516,24.08333396911621,24.383333206176758,24.516666412353516,24.40833282470703,19.525001525878906,19.825000762939453,20.30000114440918,19.858333587646484,16.233274366034838,17.866363525390625,18.459999084472656,18.919090270996094,19.343334197998047,2.758333444595337,2.875,2.875,2.875,171027.84615384616,24311.68028846154,63668.46153846154,1784,1495,1351,1647,1502,1514,1181,0.6185531616210938,3.0,3.0,3.0,24.781999588012695,22.795000076293945,23.84600067138672,25.30299949645996,24.42099952697754,22.527000427246094,23.399999618530273,24.98699951171875,24.201000213623047,23.722999572753906,23.39299964904785,23.132999420166016,4.5,0.0,1667.013392857143,1897.193359375,2155.043526785714,2443.2293526785716,68243.578125,87962.484375,112532.1328125,142893.109375,5677.309151785715,7317.762276785715,9361.757254464286,11887.542410714286,13.170832633972168,12.398332595825195,13.69333267211914,11.091666221618652
CM201800000007,CMGE71FL,CM,2018.0,7.0,CM2018DHS,14874.6650390625,16896.3046875,19155.783203125,120.70000457763672,127.41667175292969,131.99166870117188,126.76667022705078,36.300750732421875,38.03482437133789,39.205448150634766,38.029998779296875,0.0010319861272970836,0.0011168561684779632,0.0013319742985260792,27.781271362304686,27.192001342773438,27.030166625976562,27.08516845703125,12.925000190734863,12.40000057220459,11.908333778381348,12.191666603088379,1.0,3232.7,3199.2,3360.0,3430.2,3690.8,3677.1,3779.0,0.0,0.0,0.0,0.0,24.20980926430518,2146.294189453125,5.0,0.0,0.0,0.08539773159882563,0.40102564802223684,22.40123596191406,22.413014221191407,22.157249450683594,22.402581787109376,1.0057926853606096,12.745469761154633,-0.9836512261580381,0.06556426211988568,0.05869898159432476,0.1387334402640444,0.47292203169602615,0.4913435715895433,0.40793242821326625,0.3400456355168269,0.4738308099599985,0.5180761630718524,0.3801615788386418,0.312897095313439,29.825000762939453,30.21666717529297,30.100000381469727,29.875,23.33333396911621,23.983333587646484,24.116666793823242,23.75,16.899999618530273,17.816667556762695,18.191667556762695,17.683334350585938,0.003660783252200565,17.021200561523436,17.634030151367188,17.284333801269533,17.719999694824217,3.325000047683716,3.3500001430511475,3.366666793823242,3.3333334922790527,145068.46153846153,45437.10476190476,22260.09003215434,1673.8,1721.8,1576.1,1567.8,1589.2,1710.9,1621.3,1.1719445168809606,0.0,0.0,0.0,24.224000930786133,21.984249114990234,22.745250701904297,24.02375030517578,23.003250122070312,21.466999053955078,22.517498016357422,24.060001373291016,23.311500549316406,22.83824920654297,22.61425018310547,22.133249282836914,220.0326975476839,26.31607629427793,6.51366991140248,7.413072192317359,8.420595388949398,9.546649840817695,2625.310302734375,3139.8427734375,3727.142578125,4391.39453125,8.405139060371253,10.05245763794278,11.932742251362399,14.0594013432391,10.355833053588867,11.952499389648438,12.745833396911621,11.490833282470703
CM201800000008,CMGE71FL,CM,2018.0,8.0,CM2018DHS,10463.8564453125,11886.0146484375,13475.48828125,179.80833435058594,151.76666259765625,153.64999389648438,127.5,62.906707763671875,51.88603973388672,51.50279235839844,42.5,0.3456919193267822,0.41817968232291086,0.5849768093654087,26.809999465942383,25.329999923706055,25.921667098999023,25.975000381469727,10.291666984558105,9.616666793823242,9.225000381469727,9.824999809265137,2.0,3660,3623,3685,3657,4091,3911,4039,0.0,0.0,0.0,0.0,41.92857142857143,1964.494384765625,-807,0.0,0.0,0.0723521885893538,0.18190434482887957,20.627777099609375,19.774999618530273,20.489166259765625,20.670833587646484,0.9531472069876534,564.8389020647321,-1.0,24.414154052734375,35.33478437151228,0.6410234315054757,0.25304359197616577,0.5385420918464661,0.16114301979541779,0.061023563146591187,0.19437548518180847,0.5529831051826477,0.10001755505800247,0.03336325287818909,25.65833282470703,25.75,25.67500114440918,25.741666793823242,20.491666793823242,20.916667938232422,21.041667938232422,20.799999237060547,15.366666793823242,16.133333206176758,16.450000762939453,15.916666984558105,2.1290850146063445,14.445555686950684,14.220000267028809,15.056666374206543,15.366666793823242,2.8583333492279053,2.924999952316284,2.9833333492279053,3.0,81286.30357142857,32411.108173076922,197133.67857142858,2022,2029,2090,2115,2207,2177,2016,2.6716455732073103,3.0,3.0,3.0,24.143999099731445,21.200000762939453,22.45400047302246,24.67799949645996,23.548999786376953,21.415000915527344,22.500999450683594,24.785999298095703,23.55299949645996,23.177000045776367,22.239999771118164,21.79599952697754,4.142857142857143,0.0,97.03162434895833,110.4296875,125.438330078125,142.212744140625,2863.9931640625,3241.158935546875,3640.58642578125,4058.79833984375,239.00385393415178,270.47879464285717,303.8115234375,338.71180943080356,15.453332901000977,14.899999618530273,14.839166641235352,13.811666488647461
CM201800000010,CMGE71FL,CM,2018.0,10.0,CM2018DHS,70805.171875,80428.40625,91183.8046875,64.75,65.98333740234375,71.23333740234375,62.599998474121094,11.917177200317383,12.469291687011719,13.050381660461426,11.610509872436523,0.003527806822661382,0.004423269420672374,0.005790417741058739,35.714090983072914,33.768473307291664,34.42597198486328,34.59527842203776,14.608333587646484,14.266666412353516,13.824999809265137,13.916666984558105,2.0,2298.1666666666665,2336.5833333333335,2421.9166666666665,2602.3333333333335,2674.9166666666665,2654.75,2690.6666666666665,0.0,0.0,0.0,0.0,35.002680965147455,1661.5276041666666,4.0,0.0,0.0,0.03246982160987658,0.1640964884475727,27.680531819661457,26.828473409016926,27.315277099609375,27.14319610595703,6.311812740867962,2472.206434316354,-1.0,0.846606543492376,1.6227557716676442,10.621862171162869,0.29468637704849243,0.3264431655406952,0.3446127772331238,0.324125200510025,0.2209879755973816,0.25743138790130615,0.26670771837234497,0.25741344690322876,33.483333587646484,34.30833435058594,34.30833435058594,33.83333206176758,26.15833282470703,27.149999618530273,27.375,26.858333587646484,18.875,20.04166603088379,20.483333587646484,19.916667938232422,0.057879986804353946,19.64697011311849,19.888472239176433,20.20458475748698,19.691111246744793,5.433333396911621,5.291666507720947,5.458333492279053,5.391666889190674,13724.952076677317,22076.380573248407,131977.32484076434,882.0,765.1,1120.8,1046.1,898.3,947.9,1102.8,3.623302469943867,0.0,0.0,0.0,28.274749755859375,22.55500030517578,22.162250518798828,23.919498443603516,21.92850112915039,23.074249267578125,24.722999572753906,26.795249938964844,26.811500549316406,23.952499389648438,24.563251495361328,23.168750762939453,184.2573726541555,20.43699731903485,33.66306761058981,38.311238061327074,43.518175058646115,49.337696883378015,46646.90625,53743.08203125,61456.140625,69753.0,148.28944998324397,170.84805420576407,195.36766923592492,221.74319286193028,5.839166641235352,5.675833225250244,6.214999675750732,5.6541666984558105
CM201800000011,CMGE71FL,CM,2018.0,11.0,CM2018DHS,2345.298583984375,2664.051513671875,3020.30517578125,198.9166717529297,162.64999389648438,223.3333282470703,149.30833435058594,70.41297912597656,55.60683822631836,76.57142639160156,50.90056610107422,0.014046384738041805,0.02380293607711792,0.04212757715812096,25.257999420166016,25.358888626098633,25.706666946411133,26.027999877929688,8.75,8.074999809265137,7.400000095367432,8.058333396911621,-9999,2655,2583,2650,2487,2402,2362,2353,0.0,0.0,0.0,0.0,39.06666666666667,2694.552734375,-807,0.0,0.0,0.10420972896296422,0.41788645923238676,22.420665740966797,22.87444496154785,23.374332427978516,23.436777114868164,0.7321251551310222,29.041135660807292,-1.0,5.241477966308594,0.18142334620157877,1.1509325663248697,0.4811666011810303,0.4905032515525818,0.30434995889663696,0.2601745128631592,0.6005029082298279,0.6288186311721802,0.31188344955444336,0.2584601640701294,30.649999618530273,30.59166717529297,30.366666793823242,30.616666793823242,26.25,26.516666412353516,26.641666412353516,26.55000114440918,21.899999618530273,22.516666412353516,22.96666717529297,22.558334350585938,0.40089561199319773,19.58333396911621,20.389999389648438,21.04199981689453,20.845556259155273,2.825000047683716,2.924999952316284,2.9166667461395264,2.933333396911621,37237.50721153846,3776.7985491071427,6431.0703125,2613,2336,2518,2276,2267,2550,1815,0.19332865079243977,1.0,1.0,1.0,27.355998992919922,24.43000030517578,27.299999237060547,27.753000259399414,27.160999298095703,24.638999938964844,26.134000778198242,27.60099983215332,27.145000457763672,26.595001220703125,25.910999298095703,25.428998947143555,15.0,29.866666666666667,33.75050048828125,38.410746256510414,43.631205240885414,49.46584879557292,223.64456176757812,229.94578552246094,234.65760803222656,237.68389892578125,18.593076578776042,19.116939290364584,19.508662923177084,19.760262044270835,17.162500381469727,15.354999542236328,16.206666946411133,14.285833358764648
CM201800000012,CMGE71FL,CM,2018.0,12.0,CM2018DHS,22181.45703125,25196.171875,28565.5625,225.9166717529297,176.19166564941406,294.9916687011719,166.97500610351562,80.44510650634766,61.46220779418945,102.9040756225586,58.0782585144043,0.5693704164945163,0.6239220545842097,0.6351859752948468,29.165555953979492,26.79888916015625,28.924545288085938,29.729999542236328,8.691666603088379,8.016666412353516,7.708333492279053,8.216667175292969,2.0,2275.0,2246.0,2179.0,2217.0,2255.0,2254.0,2224.0,0.0,0.0,0.0,0.0,74.38461538461539,2697.871826171875,-807,0.0,0.0,0.09580566490554482,0.3949760914486648,24.44141387939453,23.238445281982422,24.93827247619629,25.466249465942383,0.6945516879741962,946.9789663461538,-1.0,6.066462003267729,0.4108402912433331,0.44684303723848784,0.43268021941185,0.46430274844169617,0.2006005197763443,0.15453101694583893,0.5139603614807129,0.5776375532150269,0.16320264339447021,0.1217355951666832,31.108333587646484,31.008333206176758,31.033334732055664,31.20833396911621,26.725000381469727,26.975000381469727,27.166667938232422,27.08333396911621,22.416667938232422,22.991666793823242,23.325000762939453,22.991666793823242,8.984165586274246,19.71727180480957,19.67799949645996,20.95199966430664,21.202499389648438,2.808333396911621,2.866666793823242,2.866666793823242,2.875,1084.889423076923,10963.788352272728,1330.4959309895833,3044,3302,3542,3182,3122,3773,2524,0.0,3.0,3.0,3.0,27.347000122070312,24.865999221801758,26.996999740600586,27.70599937438965,27.152000427246094,24.9950008392334,26.191999435424805,27.571001052856445,26.895000457763672,26.59600067138672,25.867000579833984,25.38800048828125,11.692307692307692,2.230769230769231,369.93973214285717,421.02078683035717,478.2422572544643,542.19580078125,13807.1015625,17097.404296875,21013.59765625,25634.5703125,1349.487079326923,1671.0766225961538,2053.83984375,2505.4873798076924,17.16499900817871,15.934999465942383,16.543333053588867,15.129166603088379
CM201800000013,CMGE71FL,CM,2018.0,13.0,CM2018DHS,69607.3203125,79067.7421875,89641.1796875,145.14166259765625,128.14166259765625,147.22500610351562,108.97500610351562,56.91830062866211,49.285255432128906,56.08571243286133,41.514286041259766,0.10613428629361667,0.14662394156822792,0.14310424144451434,25.183332443237305,24.601110458374023,25.35909080505371,24.503334045410156,8.449999809265137,8.449999809265137,7.775000095367432,8.433333396911621,-9999,4321,4284,4329,4009,4072,4017,4032,0.0,0.0,0.0,0.0,45.857142857142854,5769.095703125,6,0.0,0.0,0.08369065171096524,0.46072816780017367,21.723939895629883,21.649723052978516,21.981212615966797,21.81833267211914,0.5532801151275635,237.572021484375,-1.0,10.655982971191406,1.3200368881225586,1.4727476664951868,0.4882224500179291,0.4704812169075012,0.26766476035118103,0.2522209882736206,0.5842928290367126,0.5559126138687134,0.24362443387508392,0.2392454445362091,28.100000381469727,28.350000381469727,28.166667938232422,28.42500114440918,23.850000381469727,24.100000381469727,24.258333206176758,24.183334350585938,19.649999618530273,19.899999618530273,20.391666412353516,19.991666793823242,1.9615779999763734,18.264545440673828,18.698333740234375,18.60333251953125,19.133333206176758,2.549999952316284,2.6000001430511475,2.625,2.625,73648.15625,47337.044642857145,132860.07692307694,2077,1791,1808,1695,1619,1664,1386,0.6473546709333148,3.0,2.0,3.0,24.694000244140625,22.7549991607666,24.341999053955078,24.764999389648438,24.41900062561035,22.773000717163086,23.819000244140625,24.822999954223633,24.607999801635742,23.951000213623047,23.535999298095703,23.243999481201172,2.5,0.0,516.5886067708333,587.91875,667.8236979166667,757.129296875,259.479736328125,286.5796813964844,314.1451110839844,341.7978515625,21.565447126116073,23.817731584821427,26.10870361328125,28.406930106026785,14.182499885559082,13.089166641235352,14.747499465942383,11.53416633605957
