id,names1,total,lower,median,upper,uncertainty
1,Nde,40780.85,32935.98,40249.71,49790.04,0.41
2,Fako,139616.95,76237.09,134334.36,223032.91,1.05
3,Mefou et Afamba,135798.42,111796.32,131894.37,167045.01,0.41
4,Menoua,96192.3,78237.81,95739.43,115195.97,0.38
5,Haut Nkam,30626.7,23535.47,30226.79,38247.53,0.48
6,Manyu,25697.57,20839.1,25774.08,31394.67,0.41
7,Faro et Deo,25916.11,18395.71,25207.02,37750.76,0.75
8,Vina,128021.87,89999.29,128459.16,172576.04,0.65
9,Djerem,34084.15,24636.59,33478.06,48892.76,0.71
10,Mbere,46330.15,33486.26,45476.33,61853.28,0.61
11,Faro,22198.78,16368.06,21536,31012.11,0.66
12,Mvila,58263.65,40507.59,56936.96,84673.53,0.76
13,Noun,134425.64,120403.14,133829.71,149238.37,0.21
14,Bamboutos,80057.78,69105.47,79539.26,93573.53,0.31
15,Benoue,255811.77,220782.27,253655.26,299945.56,0.31
16,Boyo,27502.66,23423.89,27324.56,31844.42,0.31
17,Ndian,19593.7,12119.95,19196.8,27892.08,0.8
18,Mayo Kani,95777.28,74316.35,95045.48,120043.73,0.48
19,Mayo Danay,133692.82,105499.78,131134.19,168234.45,0.47
20,Kadey,70909.18,64252.56,70443.06,79014.05,0.21
21,Boumba et Ngoko,28583.03,17554.99,27352.64,49305.48,1.11
22,Mayo Louti,100430.02,80810.9,98756.85,126273.5,0.45
23,Mayo Banyo,37345.16,29945.94,36798.9,47400.57,0.47
24,Mfoundi,522033.02,389370.51,511434.73,649043.8,0.5
25,Ocean,69556.75,54831.34,68413.99,85443.22,0.44
26,Mayo Rey,141287.56,104922.72,140166.08,184154.22,0.56
27,Logone et Chari,175157.61,92806.9,162978.77,312792.75,1.26
28,Mayo Sava,78994.28,55922.74,77852.89,112847.19,0.72
29,Mayo Tsanaga,144293.92,108784.68,141558.46,191720.72,0.57
30,Haut Nyong,56038.21,39469.56,54779.03,77397.71,0.68
31,Dja et Lobo,64223.28,42702.2,61892.75,97458.65,0.85
32,Lom et Djerem,138032.61,123602.12,137235.09,155173.24,0.23
33,Hauts Plateaux,51798.28,42017.24,50647.35,63240.31,0.41
34,Diamare,188117.08,149711.28,185019.9,243579.69,0.5
35,Bui,46416.97,38613.09,46251.92,54850.58,0.35
36,Lekie,124313.31,102427.88,122383.68,151145.91,0.39
37,Vallee du Ntem,31250.27,23734.42,30876.91,40950.47,0.55
38,Donga Mantung,46573.92,36212.69,46138.86,59443.47,0.5
39,Meme,72508.63,42569.54,69983.01,109488.45,0.92
40,Mifi,84730.04,72469.93,84565.15,100322.19,0.33
41,Ngo Ketunjia,27278.44,24223.9,27027.5,30919.38,0.25
42,Mefou et Akono,42014.53,34501.25,41578.09,52163.26,0.42
43,Lebialem,11397.83,9205.42,11300.85,13831.98,0.41
44,Koupe et Manengouba,22689.9,15261.92,22296.37,31120.93,0.7
45,Moungo,121866.29,76352.88,119104.6,174431.62,0.8
46,Nkam,13414.94,9274.53,13324.77,18114.19,0.66
47,Sanaga Maritime,63132.29,43020.12,62454.27,87425.18,0.7
48,Nyong et kelle,35691.81,26820.19,35926.66,46356.42,0.55
49,Nyong et Soo,34764.65,29469.86,34413,41518.1,0.35
50,Nyong et Mfoumou,34403.3,27354.2,33691.78,41882.98,0.42
51,Haute Sanaga,34385.95,25438.21,33984.19,43194.14,0.52
52,Mbam et Inoubou,53773.5,46815.77,53987.39,60708.01,0.26
53,Menchum,22641.48,19076.52,22570.68,26119.5,0.31
54,Momo,24899.29,21343.73,24577.26,29039.24,0.31
55,Mezam,84261.77,73762.64,83728.19,96796.41,0.27
56,Mbam et Kim,48647.24,42684.91,48598.58,53820.82,0.23
57,Koung Khi,40174.34,34109.42,39781.01,47945.79,0.34
58,Wouri,682615.18,383920.09,649218.29,1101709.64,1.05
