event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CAO3368,2020-06-11,2020,2,Political violence,Battles,Armed clash,Military Forces of Cameroon (1982-),,State forces,Military Forces of Equatorial Guinea (1979-),,External/Other forces,State forces-External/Other forces,,120,Middle Africa,Cameroon,Sud,Vallee-du-Ntem,Kye-Ossi,Kye-Ossi,2.1734,11.3369,2,Cameroon Online,National,"Around 11 June 2020 (between 25 May - 11 June), Cameroon military forces engaged in fire fights with Equatorial Guinean militaries around the border town of Kye-Ossi (Vallee-du-Ntem, Sud), over the demarcation of the border. Several troops were reportedly injured.",0,,1753954337
CAO5156,2021-05-18,2021,1,Political violence,Riots,Mob violence,Rioters (Cameroon),Waza Communal Group (Cameroon),Rioters,Rioters (Cameroon),Refugees/IDPs (Cameroon),Rioters,Rioters-Rioters,,120,Middle Africa,Cameroon,Extreme-Nord,Logone-et-Chari,Waza,Waza,11.4043,14.5661,1,Mimi Mefo; Undisclosed Source,Local partner-Other,"On 18 May 2021, villagers engaged in fist fights with IDPs in Waza village (Logone-et-Chari, Extreme-Nord) over access to a water point. One person was killed, and 2 others injured. The army's rapid intervention forces intervened to settle the situation.",1,crowd size=no report,1760471015
CAO5151,2021-05-18,2021,1,Political violence,Riots,Mob violence,Rioters (Cameroon),Vigilante Group (Cameroon),Rioters,Civilians (Cameroon),LGBTQ+ (Cameroon); Students (Cameroon); Military Forces of Cameroon (1982-) Gendarmerie,Civilians,Rioters-Civilians,Civilian targeting,120,Middle Africa,Cameroon,Ouest,Nde,Bangangte,Bangang Fokam,5.2478,10.5249,1,Camer.be,National,"On 18 May 2021, residents severely beat up two alleged homosexual students in Bangang Fokam village, Bangangte subdivision (Nde, Ouest). They were rescued by the gendarmerie forces.",0,crowd size=no report,1622068030
CAO5138,2021-05-10,2021,1,Political violence,Riots,Mob violence,Rioters (Cameroon),Vigilante Group (Cameroon),Rioters,Civilians (Cameroon),,Civilians,Rioters-Civilians,Civilian targeting,120,Middle Africa,Cameroon,Littoral,Moungo,Melong,Melong,5.1224,9.9488,1,Mimi Mefo,New media,"On 10 May 2021, residents captured a suspected thief and burnt him to death in Melong town (Moungo, Littoral).",1,crowd size=no report,1622068030
CAO4822,2021-05-03,2021,1,Demonstrations,Riots,Violent demonstration,Rioters (Cameroon),,Rioters,Police Forces of Cameroon (1982-),Civilians (Cameroon); Government of Cameroon (1982-),State forces,State forces-Rioters,,120,Middle Africa,Cameroon,Ouest,Noun,Foumbot,Foumbot,5.5054,10.6361,1,Mimi Mefo; Camer.be; Journal du Cameroun,New media-National,"On 3 May 2021, residents demonstrated in Foumbot town (Noun, Ouest), after a prisoner died of a disease for not being allowed out for medical care. They burnt the court of justice down, and clashed with the police forces resulting in 2 demonstrators getting shot and killed, and 5 others injured.",2,crowd size=no report,1622068031
CAO4590,2021-04-29,2021,1,Political violence,Battles,Armed clash,Ambazonian Separatists (Cameroon),,Rebel group,Military Forces of Cameroon (1982-) Gendarmerie,,State forces,State forces-Rebel group,,120,Middle Africa,Cameroon,Ouest,Bamboutos,Galim,Menfoung,5.7861,10.4363,1,AFP; Cameroon News Agency; Mimi Mefo,New media-National,"On 29 April 2021, Ambazonian separatists attacked a gendarmerie post in Menfoung town, Galim subdivision (Bamboutos, Ouest), after the gendarmerie forces arrested three people earlier in Bambalang. They killed 5 gendarmes, or 4 gendarmes according to some sources.",4,,1753970257
CAO5117,2021-04-12,2021,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Cameroon (1982-),,State forces,Civilians (Cameroon),,Civilians,State forces-Civilians,,120,Middle Africa,Cameroon,Nord-Ouest,Donga-Mantung,Nwa,Nwa,6.4735,11.0612,2,Undisclosed Source,Local partner-Other,"Property destruction: On 12 April 2021, the military forces raided Nkot village, Nwa subdivision (Donga-Mantung, Nord-Ouest), and burnt down about a dozen houses.",0,NA,1622068032
CAO4510,2021-03-29,2021,1,Political violence,Riots,Mob violence,Rioters (Cameroon),Vigilante Group (Cameroon),Rioters,Civilians (Cameroon),Women (Cameroon),Civilians,Rioters-Civilians,Civilian targeting,120,Middle Africa,Cameroon,Est,Lom-et-Djerem,Bertoua 2,Bertoua,4.5765,13.6837,1,Camer.be,National,"On 29 March 2021, residents captured and severely beat up a suspected female thief in Bertoua town, Bertoua 1 subdivision (Lom-Et-Djerem, Est). She was rescued by the police forces.",0,crowd size=no report,1622068032
CAO4496,2021-03-24,2021,1,Political violence,Riots,Mob violence,Rioters (Cameroon),Vigilante Group (Cameroon),Rioters,Civilians (Cameroon),Pastoralists (Cameroon),Civilians,Rioters-Civilians,Civilian targeting,120,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Mogode,Mogode,10.6085,13.5705,1,Undisclosed Source,Local partner-Other,"On 24 March 2021, residents captured a pastoralist suspected of having collaborated with kidnappers, and beat him up to death in Mogode town (Mayo-Tsanaga, Extreme-Nord).",1,crowd size=no report,1622068033
CAO4497,2021-03-24,2021,1,Political violence,Violence against civilians,Attack,Police Forces of Cameroon (1982-),,State forces,Civilians (Cameroon),,Civilians,State forces-Civilians,Civilian targeting,120,Middle Africa,Cameroon,Littoral,Moungo,Njombe-Penja,Penja,4.6391,9.6798,1,Mimi Mefo,New media,"On 24 March 2021, the security forces (assumed Police Forces) fired tear gas at a group of people who gathered to pay homage to the mayor of Penja town (Moungo, Littoral) as his remains were being taken to the cemetery. Several people were injured.",0,,1754563499
