admin2Pcod,ntl_mean_adm2,population_adm2,ndvi_mean_adm2,precip_2018_adm2,no2_adm2,lc_13_urbain_adm2,lc_12_cultures_adm2,lc_8_savane_boisee_adm2,lc_11_zones_humides_adm2
BJ0800,8.637987115968722,926681.29296875,2297.473113918996,1323.4689346147636,5.316630104707376e-05,0.0,0.6124119823367944,0.00843776106934,0.0
BJ0101,0.2827506083965172,634992.7192276716,4285.976479561294,975.6668263643,5.099702646052713e-05,0.0124653594946315,0.0063239969078253,0.0029185283762044,0.9754277048506972
BJ0102,0.240892886949243,162246.73042738438,4482.771993734257,1089.008644964508,5.085536817808877e-05,5.044390637610963e-05,0.0008971809062608,0.1717110573042771,0.8273413178830862
BJ0103,0.2538598865299517,269213.3726885915,4284.580516724292,1014.7163061575158,5.17683915479125e-05,0.0,0.0009775519250253,0.0,0.9990224480749746
BJ0104,0.304772635150534,119863.63172899188,4253.583568839442,808.7529473519412,5.263274994797492e-05,0.0081937796234955,0.0,0.0,0.9496169894455516
BJ0105,0.2598941867215897,218312.03209477663,4156.283858281357,919.2659307098506,5.2457232733241976e-05,0.04960300746064,0.0087280985483629,0.0,0.9208928019842284
BJ0106,0.2385477573494723,118655.56370472908,4530.293591305826,1104.5605348189483,5.233709274676895e-05,0.0,0.0012442672503648,0.0926860900987293,0.9055976146788768
BJ0201,0.2817123812588154,93779.27038025856,4355.822918497591,1181.1691086231324,5.153327153361351e-05,0.0,0.0,0.0,1.0
BJ0202,0.2629947220580367,134493.57030653954,4713.799531593036,1066.0030456842546,5.12499944164202e-05,0.0,0.0068901303538174,0.1468995154662864,0.846210354179896
BJ0203,0.3055693945256169,85597.32812160254,4061.056623867674,1134.4686403354206,5.150253044730372e-05,0.0,0.0,0.0,1.0
BJ0204,0.2447136402534958,167454.41892692447,4942.970593452719,1181.4009575744324,5.051721867629146e-05,6.0584030049679055e-05,0.0005439392263155,0.2446515883222645,0.7546460219112898
BJ0205,0.2557884437999389,148473.9669175148,3981.647880997516,1043.2768715913564,5.304685073566282e-05,0.0,0.0011278631968287,0.0,0.9988721368031712
BJ0206,0.2850595612932706,131018.1627268046,4850.619736482862,1242.6285591970943,5.058643737347234e-05,0.0,0.0047639715608465,0.0014189332827725,0.9938170951563808
BJ0207,0.2458216616162777,97395.91608482972,4835.778448204341,1188.207868918305,5.059615137056896e-05,0.024874022760512,0.0006488019796004,0.320929770818241,0.6534206617293525
BJ0208,0.3265711834856397,118221.1736329198,4525.1162347133,1002.9222945446728,5.332865123709348e-05,0.0,0.0001601554334798,0.0003776435045317,0.9994622010619884
BJ0209,0.2640217953841633,127475.80545830728,4956.39765535968,1193.5871492060196,5.093787295420452e-05,0.0,0.0,0.0476229182996099,0.9448582847079088
